condition,run_id,class,class_id,start_idx,end_idx,npy_path
C1,5,I,0,19179,23787,data\windows\C1_005_0.npy
C1,40,I,0,165974,170582,data\windows\C1_040_0.npy
C1,34,I,0,140468,145076,data\windows\C1_034_0.npy
C1,23,I,0,94062,98670,data\windows\C1_023_0.npy
C1,23,I,0,92805,97413,data\windows\C1_023_1.npy
C1,44,I,0,184208,188816,data\windows\C1_044_0.npy
C1,5,I,0,18468,23076,data\windows\C1_005_1.npy
C1,36,I,0,149558,154166,data\windows\C1_036_0.npy
C1,11,I,0,43174,47782,data\windows\C1_011_0.npy
C1,5,I,0,20237,24845,data\windows\C1_005_2.npy
C1,27,I,0,112854,117462,data\windows\C1_027_0.npy
C1,50,I,0,209229,213837,data\windows\C1_050_0.npy
C1,38,I,0,157749,162357,data\windows\C1_038_0.npy
C1,39,I,0,163275,167883,data\windows\C1_039_0.npy
C1,37,I,0,153786,158394,data\windows\C1_037_0.npy
C1,41,I,0,168586,173194,data\windows\C1_041_0.npy
C1,27,I,0,110013,114621,data\windows\C1_027_1.npy
C1,7,I,0,27469,32077,data\windows\C1_007_0.npy
C1,43,I,0,180080,184688,data\windows\C1_043_0.npy
C1,23,I,0,96528,101136,data\windows\C1_023_2.npy
C1,26,I,0,107248,111856,data\windows\C1_026_0.npy
C1,19,I,0,79539,84147,data\windows\C1_019_0.npy
C1,10,I,0,39124,43732,data\windows\C1_010_0.npy
C1,48,I,0,198756,203364,data\windows\C1_048_0.npy
C1,40,I,0,167607,172215,data\windows\C1_040_1.npy
C1,33,I,0,138151,142759,data\windows\C1_033_0.npy
C1,21,I,0,87617,92225,data\windows\C1_021_0.npy
C1,42,I,0,176395,181003,data\windows\C1_042_0.npy
C1,28,I,0,116914,121522,data\windows\C1_028_0.npy
C1,23,I,0,95034,99642,data\windows\C1_023_3.npy
C1,23,I,0,96544,101152,data\windows\C1_023_4.npy
C1,12,I,0,48716,53324,data\windows\C1_012_0.npy
C1,5,I,0,19798,24406,data\windows\C1_005_3.npy
C1,29,I,0,118869,123477,data\windows\C1_029_0.npy
C1,46,I,0,190548,195156,data\windows\C1_046_0.npy
C1,4,I,0,13665,18273,data\windows\C1_004_0.npy
C1,44,I,0,184142,188750,data\windows\C1_044_1.npy
C1,43,I,0,177482,182090,data\windows\C1_043_1.npy
C1,15,I,0,59358,63966,data\windows\C1_015_0.npy
C1,33,I,0,135533,140141,data\windows\C1_033_1.npy
C1,9,I,0,35547,40155,data\windows\C1_009_0.npy
C1,39,I,0,162621,167229,data\windows\C1_039_1.npy
C1,36,I,0,150235,154843,data\windows\C1_036_1.npy
C1,19,I,0,76049,80657,data\windows\C1_019_1.npy
C1,4,I,0,14543,19151,data\windows\C1_004_1.npy
C1,50,I,0,208172,212780,data\windows\C1_050_1.npy
C1,23,I,0,95521,100129,data\windows\C1_023_5.npy
C1,46,I,0,191670,196278,data\windows\C1_046_1.npy
C1,35,I,0,145351,149959,data\windows\C1_035_0.npy
C1,40,I,0,166924,171532,data\windows\C1_040_2.npy
C1,39,I,0,163009,167617,data\windows\C1_039_2.npy
C1,10,I,0,41714,46322,data\windows\C1_010_1.npy
C1,19,I,0,78061,82669,data\windows\C1_019_2.npy
C1,24,I,0,100079,104687,data\windows\C1_024_0.npy
C1,26,I,0,106700,111308,data\windows\C1_026_1.npy
C1,3,I,0,9364,13972,data\windows\C1_003_0.npy
C1,28,I,0,117159,121767,data\windows\C1_028_1.npy
C1,8,I,0,33072,37680,data\windows\C1_008_0.npy
C1,38,I,0,159384,163992,data\windows\C1_038_1.npy
C1,35,I,0,146451,151059,data\windows\C1_035_1.npy
C1,48,I,0,197848,202456,data\windows\C1_048_1.npy
C1,38,I,0,159681,164289,data\windows\C1_038_2.npy
C1,19,I,0,78648,83256,data\windows\C1_019_3.npy
C1,50,I,0,207489,212097,data\windows\C1_050_2.npy
C1,21,I,0,89454,94062,data\windows\C1_021_1.npy
C1,17,I,0,69882,74490,data\windows\C1_017_0.npy
C1,47,I,0,194166,198774,data\windows\C1_047_0.npy
C1,19,I,0,79467,84075,data\windows\C1_019_4.npy
C1,4,I,0,16347,20955,data\windows\C1_004_2.npy
C1,24,I,0,100687,105295,data\windows\C1_024_1.npy
C1,41,I,0,170648,175256,data\windows\C1_041_1.npy
C1,10,I,0,40607,45215,data\windows\C1_010_2.npy
C1,24,I,0,99268,103876,data\windows\C1_024_2.npy
C1,7,I,0,27857,32465,data\windows\C1_007_1.npy
C1,36,I,0,147223,151831,data\windows\C1_036_2.npy
C1,25,I,0,101956,106564,data\windows\C1_025_0.npy
C1,17,I,0,70820,75428,data\windows\C1_017_1.npy
C1,12,I,0,48645,53253,data\windows\C1_012_1.npy
C1,29,I,0,120994,125602,data\windows\C1_029_1.npy
C1,35,I,0,143614,148222,data\windows\C1_035_2.npy
C1,48,I,0,201660,206268,data\windows\C1_048_2.npy
C1,23,I,0,93692,98300,data\windows\C1_023_6.npy
C1,9,I,0,34570,39178,data\windows\C1_009_1.npy
C1,43,I,0,178564,183172,data\windows\C1_043_2.npy
C1,33,I,0,135126,139734,data\windows\C1_033_2.npy
C1,36,I,0,150180,154788,data\windows\C1_036_3.npy
C1,5,I,0,20892,25500,data\windows\C1_005_4.npy
C1,16,I,0,67024,71632,data\windows\C1_016_0.npy
C1,40,I,0,164664,169272,data\windows\C1_040_3.npy
C1,43,I,0,178474,183082,data\windows\C1_043_3.npy
C1,23,I,0,93277,97885,data\windows\C1_023_7.npy
C1,42,I,0,172536,177144,data\windows\C1_042_1.npy
C1,43,I,0,180497,185105,data\windows\C1_043_4.npy
C1,20,I,0,83069,87677,data\windows\C1_020_0.npy
C1,46,I,0,192736,197344,data\windows\C1_046_2.npy
C1,15,I,0,61839,66447,data\windows\C1_015_1.npy
C1,13,I,0,51562,56170,data\windows\C1_013_0.npy
C1,35,I,0,146333,150941,data\windows\C1_035_3.npy
C1,33,I,0,136627,141235,data\windows\C1_033_3.npy
C1,8,I,0,29956,34564,data\windows\C1_008_1.npy
C1,43,I,0,178577,183185,data\windows\C1_043_5.npy
C1,11,I,0,42840,47448,data\windows\C1_011_1.npy
C1,42,I,0,172565,177173,data\windows\C1_042_2.npy
C1,1,I,0,904,5512,data\windows\C1_001_0.npy
C1,41,I,0,170898,175506,data\windows\C1_041_2.npy
C1,41,I,0,168770,173378,data\windows\C1_041_3.npy
C1,40,I,0,167349,171957,data\windows\C1_040_4.npy
C1,34,I,0,142674,147282,data\windows\C1_034_1.npy
C1,25,I,0,101070,105678,data\windows\C1_025_1.npy
C1,36,I,0,151231,155839,data\windows\C1_036_4.npy
C1,15,I,0,59435,64043,data\windows\C1_015_2.npy
C1,40,I,0,167427,172035,data\windows\C1_040_5.npy
C1,29,I,0,119097,123705,data\windows\C1_029_2.npy
C1,24,I,0,98405,103013,data\windows\C1_024_3.npy
C1,26,I,0,108375,112983,data\windows\C1_026_2.npy
C1,30,I,0,121884,126492,data\windows\C1_030_0.npy
C1,2,I,0,7925,12533,data\windows\C1_002_0.npy
C1,8,I,0,29966,34574,data\windows\C1_008_2.npy
C1,13,I,0,52837,57445,data\windows\C1_013_1.npy
C1,6,I,0,24536,29144,data\windows\C1_006_0.npy
C1,23,I,0,94220,98828,data\windows\C1_023_8.npy
C1,35,I,0,143311,147919,data\windows\C1_035_4.npy
C1,34,I,0,140437,145045,data\windows\C1_034_2.npy
C1,25,I,0,100969,105577,data\windows\C1_025_2.npy
C1,44,I,0,183453,188061,data\windows\C1_044_2.npy
C1,29,I,0,121152,125760,data\windows\C1_029_3.npy
C1,5,I,0,17018,21626,data\windows\C1_005_5.npy
C1,40,I,0,164054,168662,data\windows\C1_040_6.npy
C1,30,I,0,123140,127748,data\windows\C1_030_1.npy
C1,33,I,0,136188,140796,data\windows\C1_033_4.npy
C1,29,I,0,121182,125790,data\windows\C1_029_4.npy
C1,29,I,0,118654,123262,data\windows\C1_029_5.npy
C1,5,I,0,19461,24069,data\windows\C1_005_6.npy
C1,29,I,0,119860,124468,data\windows\C1_029_6.npy
