condition,run_id,window_idx,start_idx,end_idx,npy_path
C1,1,0,-1,-1,data\windows_unified\C1_001_0.npy
C1,1,1,-1,-1,data\windows_unified\C1_001_1.npy
C1,1,2,-1,-1,data\windows_unified\C1_001_2.npy
C1,1,3,-1,-1,data\windows_unified\C1_001_3.npy
C1,1,4,-1,-1,data\windows_unified\C1_001_4.npy
C1,1,5,-1,-1,data\windows_unified\C1_001_5.npy
C1,1,6,-1,-1,data\windows_unified\C1_001_6.npy
C1,1,7,-1,-1,data\windows_unified\C1_001_7.npy
C1,2,0,-1,-1,data\windows_unified\C1_002_0.npy
C1,2,1,-1,-1,data\windows_unified\C1_002_1.npy
C1,2,2,-1,-1,data\windows_unified\C1_002_2.npy
C1,2,3,-1,-1,data\windows_unified\C1_002_3.npy
C1,2,4,-1,-1,data\windows_unified\C1_002_4.npy
C1,2,5,-1,-1,data\windows_unified\C1_002_5.npy
C1,2,6,-1,-1,data\windows_unified\C1_002_6.npy
C1,2,7,-1,-1,data\windows_unified\C1_002_7.npy
C1,3,0,-1,-1,data\windows_unified\C1_003_0.npy
C1,3,1,-1,-1,data\windows_unified\C1_003_1.npy
C1,3,2,-1,-1,data\windows_unified\C1_003_2.npy
C1,3,3,-1,-1,data\windows_unified\C1_003_3.npy
C1,3,4,-1,-1,data\windows_unified\C1_003_4.npy
C1,3,5,-1,-1,data\windows_unified\C1_003_5.npy
C1,3,6,-1,-1,data\windows_unified\C1_003_6.npy
C1,3,7,-1,-1,data\windows_unified\C1_003_7.npy
C1,4,0,-1,-1,data\windows_unified\C1_004_0.npy
C1,4,1,-1,-1,data\windows_unified\C1_004_1.npy
C1,4,2,-1,-1,data\windows_unified\C1_004_2.npy
C1,4,3,-1,-1,data\windows_unified\C1_004_3.npy
C1,4,4,-1,-1,data\windows_unified\C1_004_4.npy
C1,4,5,-1,-1,data\windows_unified\C1_004_5.npy
C1,4,6,-1,-1,data\windows_unified\C1_004_6.npy
C1,4,7,-1,-1,data\windows_unified\C1_004_7.npy
C1,5,0,-1,-1,data\windows_unified\C1_005_0.npy
C1,5,1,-1,-1,data\windows_unified\C1_005_1.npy
C1,5,2,-1,-1,data\windows_unified\C1_005_2.npy
C1,5,3,-1,-1,data\windows_unified\C1_005_3.npy
C1,5,4,-1,-1,data\windows_unified\C1_005_4.npy
C1,5,5,-1,-1,data\windows_unified\C1_005_5.npy
C1,5,6,-1,-1,data\windows_unified\C1_005_6.npy
C1,5,7,-1,-1,data\windows_unified\C1_005_7.npy
C1,6,0,-1,-1,data\windows_unified\C1_006_0.npy
C1,6,1,-1,-1,data\windows_unified\C1_006_1.npy
C1,6,2,-1,-1,data\windows_unified\C1_006_2.npy
C1,6,3,-1,-1,data\windows_unified\C1_006_3.npy
C1,6,4,-1,-1,data\windows_unified\C1_006_4.npy
C1,6,5,-1,-1,data\windows_unified\C1_006_5.npy
C1,6,6,-1,-1,data\windows_unified\C1_006_6.npy
C1,6,7,-1,-1,data\windows_unified\C1_006_7.npy
C1,7,0,-1,-1,data\windows_unified\C1_007_0.npy
C1,7,1,-1,-1,data\windows_unified\C1_007_1.npy
C1,7,2,-1,-1,data\windows_unified\C1_007_2.npy
C1,7,3,-1,-1,data\windows_unified\C1_007_3.npy
C1,7,4,-1,-1,data\windows_unified\C1_007_4.npy
C1,7,5,-1,-1,data\windows_unified\C1_007_5.npy
C1,7,6,-1,-1,data\windows_unified\C1_007_6.npy
C1,7,7,-1,-1,data\windows_unified\C1_007_7.npy
C1,8,0,-1,-1,data\windows_unified\C1_008_0.npy
C1,8,1,-1,-1,data\windows_unified\C1_008_1.npy
C1,8,2,-1,-1,data\windows_unified\C1_008_2.npy
C1,8,3,-1,-1,data\windows_unified\C1_008_3.npy
C1,8,4,-1,-1,data\windows_unified\C1_008_4.npy
C1,8,5,-1,-1,data\windows_unified\C1_008_5.npy
C1,8,6,-1,-1,data\windows_unified\C1_008_6.npy
C1,8,7,-1,-1,data\windows_unified\C1_008_7.npy
C1,9,0,-1,-1,data\windows_unified\C1_009_0.npy
C1,9,1,-1,-1,data\windows_unified\C1_009_1.npy
C1,9,2,-1,-1,data\windows_unified\C1_009_2.npy
C1,9,3,-1,-1,data\windows_unified\C1_009_3.npy
C1,9,4,-1,-1,data\windows_unified\C1_009_4.npy
C1,9,5,-1,-1,data\windows_unified\C1_009_5.npy
C1,9,6,-1,-1,data\windows_unified\C1_009_6.npy
C1,9,7,-1,-1,data\windows_unified\C1_009_7.npy
C1,10,0,-1,-1,data\windows_unified\C1_010_0.npy
C1,10,1,-1,-1,data\windows_unified\C1_010_1.npy
C1,10,2,-1,-1,data\windows_unified\C1_010_2.npy
C1,10,3,-1,-1,data\windows_unified\C1_010_3.npy
C1,10,4,-1,-1,data\windows_unified\C1_010_4.npy
C1,10,5,-1,-1,data\windows_unified\C1_010_5.npy
C1,10,6,-1,-1,data\windows_unified\C1_010_6.npy
C1,10,7,-1,-1,data\windows_unified\C1_010_7.npy
C1,11,0,-1,-1,data\windows_unified\C1_011_0.npy
C1,11,1,-1,-1,data\windows_unified\C1_011_1.npy
C1,11,2,-1,-1,data\windows_unified\C1_011_2.npy
C1,11,3,-1,-1,data\windows_unified\C1_011_3.npy
C1,11,4,-1,-1,data\windows_unified\C1_011_4.npy
C1,11,5,-1,-1,data\windows_unified\C1_011_5.npy
C1,11,6,-1,-1,data\windows_unified\C1_011_6.npy
C1,11,7,-1,-1,data\windows_unified\C1_011_7.npy
C1,12,0,-1,-1,data\windows_unified\C1_012_0.npy
C1,12,1,-1,-1,data\windows_unified\C1_012_1.npy
C1,12,2,-1,-1,data\windows_unified\C1_012_2.npy
C1,12,3,-1,-1,data\windows_unified\C1_012_3.npy
C1,12,4,-1,-1,data\windows_unified\C1_012_4.npy
C1,12,5,-1,-1,data\windows_unified\C1_012_5.npy
C1,12,6,-1,-1,data\windows_unified\C1_012_6.npy
C1,12,7,-1,-1,data\windows_unified\C1_012_7.npy
C1,13,0,-1,-1,data\windows_unified\C1_013_0.npy
C1,13,1,-1,-1,data\windows_unified\C1_013_1.npy
C1,13,2,-1,-1,data\windows_unified\C1_013_2.npy
C1,13,3,-1,-1,data\windows_unified\C1_013_3.npy
C1,13,4,-1,-1,data\windows_unified\C1_013_4.npy
C1,13,5,-1,-1,data\windows_unified\C1_013_5.npy
C1,13,6,-1,-1,data\windows_unified\C1_013_6.npy
C1,13,7,-1,-1,data\windows_unified\C1_013_7.npy
C1,14,0,-1,-1,data\windows_unified\C1_014_0.npy
C1,14,1,-1,-1,data\windows_unified\C1_014_1.npy
C1,14,2,-1,-1,data\windows_unified\C1_014_2.npy
C1,14,3,-1,-1,data\windows_unified\C1_014_3.npy
C1,14,4,-1,-1,data\windows_unified\C1_014_4.npy
C1,14,5,-1,-1,data\windows_unified\C1_014_5.npy
C1,14,6,-1,-1,data\windows_unified\C1_014_6.npy
C1,14,7,-1,-1,data\windows_unified\C1_014_7.npy
C1,15,0,-1,-1,data\windows_unified\C1_015_0.npy
C1,15,1,-1,-1,data\windows_unified\C1_015_1.npy
C1,15,2,-1,-1,data\windows_unified\C1_015_2.npy
C1,15,3,-1,-1,data\windows_unified\C1_015_3.npy
C1,15,4,-1,-1,data\windows_unified\C1_015_4.npy
C1,15,5,-1,-1,data\windows_unified\C1_015_5.npy
C1,15,6,-1,-1,data\windows_unified\C1_015_6.npy
C1,15,7,-1,-1,data\windows_unified\C1_015_7.npy
C1,16,0,-1,-1,data\windows_unified\C1_016_0.npy
C1,16,1,-1,-1,data\windows_unified\C1_016_1.npy
C1,16,2,-1,-1,data\windows_unified\C1_016_2.npy
C1,16,3,-1,-1,data\windows_unified\C1_016_3.npy
C1,16,4,-1,-1,data\windows_unified\C1_016_4.npy
C1,16,5,-1,-1,data\windows_unified\C1_016_5.npy
C1,16,6,-1,-1,data\windows_unified\C1_016_6.npy
C1,16,7,-1,-1,data\windows_unified\C1_016_7.npy
C1,17,0,-1,-1,data\windows_unified\C1_017_0.npy
C1,17,1,-1,-1,data\windows_unified\C1_017_1.npy
C1,17,2,-1,-1,data\windows_unified\C1_017_2.npy
C1,17,3,-1,-1,data\windows_unified\C1_017_3.npy
C1,17,4,-1,-1,data\windows_unified\C1_017_4.npy
C1,17,5,-1,-1,data\windows_unified\C1_017_5.npy
C1,17,6,-1,-1,data\windows_unified\C1_017_6.npy
C1,17,7,-1,-1,data\windows_unified\C1_017_7.npy
C1,18,0,-1,-1,data\windows_unified\C1_018_0.npy
C1,18,1,-1,-1,data\windows_unified\C1_018_1.npy
C1,18,2,-1,-1,data\windows_unified\C1_018_2.npy
C1,18,3,-1,-1,data\windows_unified\C1_018_3.npy
C1,18,4,-1,-1,data\windows_unified\C1_018_4.npy
C1,18,5,-1,-1,data\windows_unified\C1_018_5.npy
C1,18,6,-1,-1,data\windows_unified\C1_018_6.npy
C1,18,7,-1,-1,data\windows_unified\C1_018_7.npy
C1,19,0,-1,-1,data\windows_unified\C1_019_0.npy
C1,19,1,-1,-1,data\windows_unified\C1_019_1.npy
C1,19,2,-1,-1,data\windows_unified\C1_019_2.npy
C1,19,3,-1,-1,data\windows_unified\C1_019_3.npy
C1,19,4,-1,-1,data\windows_unified\C1_019_4.npy
C1,19,5,-1,-1,data\windows_unified\C1_019_5.npy
C1,19,6,-1,-1,data\windows_unified\C1_019_6.npy
C1,19,7,-1,-1,data\windows_unified\C1_019_7.npy
C1,20,0,-1,-1,data\windows_unified\C1_020_0.npy
C1,20,1,-1,-1,data\windows_unified\C1_020_1.npy
C1,20,2,-1,-1,data\windows_unified\C1_020_2.npy
C1,20,3,-1,-1,data\windows_unified\C1_020_3.npy
C1,20,4,-1,-1,data\windows_unified\C1_020_4.npy
C1,20,5,-1,-1,data\windows_unified\C1_020_5.npy
C1,20,6,-1,-1,data\windows_unified\C1_020_6.npy
C1,20,7,-1,-1,data\windows_unified\C1_020_7.npy
C1,21,0,-1,-1,data\windows_unified\C1_021_0.npy
C1,21,1,-1,-1,data\windows_unified\C1_021_1.npy
C1,21,2,-1,-1,data\windows_unified\C1_021_2.npy
C1,21,3,-1,-1,data\windows_unified\C1_021_3.npy
C1,21,4,-1,-1,data\windows_unified\C1_021_4.npy
C1,21,5,-1,-1,data\windows_unified\C1_021_5.npy
C1,21,6,-1,-1,data\windows_unified\C1_021_6.npy
C1,21,7,-1,-1,data\windows_unified\C1_021_7.npy
C1,22,0,-1,-1,data\windows_unified\C1_022_0.npy
C1,22,1,-1,-1,data\windows_unified\C1_022_1.npy
C1,22,2,-1,-1,data\windows_unified\C1_022_2.npy
C1,22,3,-1,-1,data\windows_unified\C1_022_3.npy
C1,22,4,-1,-1,data\windows_unified\C1_022_4.npy
C1,22,5,-1,-1,data\windows_unified\C1_022_5.npy
C1,22,6,-1,-1,data\windows_unified\C1_022_6.npy
C1,22,7,-1,-1,data\windows_unified\C1_022_7.npy
C1,23,0,-1,-1,data\windows_unified\C1_023_0.npy
C1,23,1,-1,-1,data\windows_unified\C1_023_1.npy
C1,23,2,-1,-1,data\windows_unified\C1_023_2.npy
C1,23,3,-1,-1,data\windows_unified\C1_023_3.npy
C1,23,4,-1,-1,data\windows_unified\C1_023_4.npy
C1,23,5,-1,-1,data\windows_unified\C1_023_5.npy
C1,23,6,-1,-1,data\windows_unified\C1_023_6.npy
C1,23,7,-1,-1,data\windows_unified\C1_023_7.npy
C1,24,0,-1,-1,data\windows_unified\C1_024_0.npy
C1,24,1,-1,-1,data\windows_unified\C1_024_1.npy
C1,24,2,-1,-1,data\windows_unified\C1_024_2.npy
C1,24,3,-1,-1,data\windows_unified\C1_024_3.npy
C1,24,4,-1,-1,data\windows_unified\C1_024_4.npy
C1,24,5,-1,-1,data\windows_unified\C1_024_5.npy
C1,24,6,-1,-1,data\windows_unified\C1_024_6.npy
C1,24,7,-1,-1,data\windows_unified\C1_024_7.npy
C1,25,0,-1,-1,data\windows_unified\C1_025_0.npy
C1,25,1,-1,-1,data\windows_unified\C1_025_1.npy
C1,25,2,-1,-1,data\windows_unified\C1_025_2.npy
C1,25,3,-1,-1,data\windows_unified\C1_025_3.npy
C1,25,4,-1,-1,data\windows_unified\C1_025_4.npy
C1,25,5,-1,-1,data\windows_unified\C1_025_5.npy
C1,25,6,-1,-1,data\windows_unified\C1_025_6.npy
C1,25,7,-1,-1,data\windows_unified\C1_025_7.npy
C1,26,0,-1,-1,data\windows_unified\C1_026_0.npy
C1,26,1,-1,-1,data\windows_unified\C1_026_1.npy
C1,26,2,-1,-1,data\windows_unified\C1_026_2.npy
C1,26,3,-1,-1,data\windows_unified\C1_026_3.npy
C1,26,4,-1,-1,data\windows_unified\C1_026_4.npy
C1,26,5,-1,-1,data\windows_unified\C1_026_5.npy
C1,26,6,-1,-1,data\windows_unified\C1_026_6.npy
C1,26,7,-1,-1,data\windows_unified\C1_026_7.npy
C1,27,0,-1,-1,data\windows_unified\C1_027_0.npy
C1,27,1,-1,-1,data\windows_unified\C1_027_1.npy
C1,27,2,-1,-1,data\windows_unified\C1_027_2.npy
C1,27,3,-1,-1,data\windows_unified\C1_027_3.npy
C1,27,4,-1,-1,data\windows_unified\C1_027_4.npy
C1,27,5,-1,-1,data\windows_unified\C1_027_5.npy
C1,27,6,-1,-1,data\windows_unified\C1_027_6.npy
C1,27,7,-1,-1,data\windows_unified\C1_027_7.npy
C1,28,0,-1,-1,data\windows_unified\C1_028_0.npy
C1,28,1,-1,-1,data\windows_unified\C1_028_1.npy
C1,28,2,-1,-1,data\windows_unified\C1_028_2.npy
C1,28,3,-1,-1,data\windows_unified\C1_028_3.npy
C1,28,4,-1,-1,data\windows_unified\C1_028_4.npy
C1,28,5,-1,-1,data\windows_unified\C1_028_5.npy
C1,28,6,-1,-1,data\windows_unified\C1_028_6.npy
C1,28,7,-1,-1,data\windows_unified\C1_028_7.npy
C1,29,0,-1,-1,data\windows_unified\C1_029_0.npy
C1,29,1,-1,-1,data\windows_unified\C1_029_1.npy
C1,29,2,-1,-1,data\windows_unified\C1_029_2.npy
C1,29,3,-1,-1,data\windows_unified\C1_029_3.npy
C1,29,4,-1,-1,data\windows_unified\C1_029_4.npy
C1,29,5,-1,-1,data\windows_unified\C1_029_5.npy
C1,29,6,-1,-1,data\windows_unified\C1_029_6.npy
C1,29,7,-1,-1,data\windows_unified\C1_029_7.npy
C1,30,0,-1,-1,data\windows_unified\C1_030_0.npy
C1,30,1,-1,-1,data\windows_unified\C1_030_1.npy
C1,30,2,-1,-1,data\windows_unified\C1_030_2.npy
C1,30,3,-1,-1,data\windows_unified\C1_030_3.npy
C1,30,4,-1,-1,data\windows_unified\C1_030_4.npy
C1,30,5,-1,-1,data\windows_unified\C1_030_5.npy
C1,30,6,-1,-1,data\windows_unified\C1_030_6.npy
C1,30,7,-1,-1,data\windows_unified\C1_030_7.npy
C1,31,0,-1,-1,data\windows_unified\C1_031_0.npy
C1,31,1,-1,-1,data\windows_unified\C1_031_1.npy
C1,31,2,-1,-1,data\windows_unified\C1_031_2.npy
C1,31,3,-1,-1,data\windows_unified\C1_031_3.npy
C1,31,4,-1,-1,data\windows_unified\C1_031_4.npy
C1,31,5,-1,-1,data\windows_unified\C1_031_5.npy
C1,31,6,-1,-1,data\windows_unified\C1_031_6.npy
C1,31,7,-1,-1,data\windows_unified\C1_031_7.npy
C1,32,0,-1,-1,data\windows_unified\C1_032_0.npy
C1,32,1,-1,-1,data\windows_unified\C1_032_1.npy
C1,32,2,-1,-1,data\windows_unified\C1_032_2.npy
C1,32,3,-1,-1,data\windows_unified\C1_032_3.npy
C1,32,4,-1,-1,data\windows_unified\C1_032_4.npy
C1,32,5,-1,-1,data\windows_unified\C1_032_5.npy
C1,32,6,-1,-1,data\windows_unified\C1_032_6.npy
C1,32,7,-1,-1,data\windows_unified\C1_032_7.npy
C1,33,0,-1,-1,data\windows_unified\C1_033_0.npy
C1,33,1,-1,-1,data\windows_unified\C1_033_1.npy
C1,33,2,-1,-1,data\windows_unified\C1_033_2.npy
C1,33,3,-1,-1,data\windows_unified\C1_033_3.npy
C1,33,4,-1,-1,data\windows_unified\C1_033_4.npy
C1,33,5,-1,-1,data\windows_unified\C1_033_5.npy
C1,33,6,-1,-1,data\windows_unified\C1_033_6.npy
C1,33,7,-1,-1,data\windows_unified\C1_033_7.npy
C1,34,0,-1,-1,data\windows_unified\C1_034_0.npy
C1,34,1,-1,-1,data\windows_unified\C1_034_1.npy
C1,34,2,-1,-1,data\windows_unified\C1_034_2.npy
C1,34,3,-1,-1,data\windows_unified\C1_034_3.npy
C1,34,4,-1,-1,data\windows_unified\C1_034_4.npy
C1,34,5,-1,-1,data\windows_unified\C1_034_5.npy
C1,34,6,-1,-1,data\windows_unified\C1_034_6.npy
C1,34,7,-1,-1,data\windows_unified\C1_034_7.npy
C1,35,0,-1,-1,data\windows_unified\C1_035_0.npy
C1,35,1,-1,-1,data\windows_unified\C1_035_1.npy
C1,35,2,-1,-1,data\windows_unified\C1_035_2.npy
C1,35,3,-1,-1,data\windows_unified\C1_035_3.npy
C1,35,4,-1,-1,data\windows_unified\C1_035_4.npy
C1,35,5,-1,-1,data\windows_unified\C1_035_5.npy
C1,35,6,-1,-1,data\windows_unified\C1_035_6.npy
C1,35,7,-1,-1,data\windows_unified\C1_035_7.npy
C1,36,0,-1,-1,data\windows_unified\C1_036_0.npy
C1,36,1,-1,-1,data\windows_unified\C1_036_1.npy
C1,36,2,-1,-1,data\windows_unified\C1_036_2.npy
C1,36,3,-1,-1,data\windows_unified\C1_036_3.npy
C1,36,4,-1,-1,data\windows_unified\C1_036_4.npy
C1,36,5,-1,-1,data\windows_unified\C1_036_5.npy
C1,36,6,-1,-1,data\windows_unified\C1_036_6.npy
C1,36,7,-1,-1,data\windows_unified\C1_036_7.npy
C1,37,0,-1,-1,data\windows_unified\C1_037_0.npy
C1,37,1,-1,-1,data\windows_unified\C1_037_1.npy
C1,37,2,-1,-1,data\windows_unified\C1_037_2.npy
C1,37,3,-1,-1,data\windows_unified\C1_037_3.npy
C1,37,4,-1,-1,data\windows_unified\C1_037_4.npy
C1,37,5,-1,-1,data\windows_unified\C1_037_5.npy
C1,37,6,-1,-1,data\windows_unified\C1_037_6.npy
C1,37,7,-1,-1,data\windows_unified\C1_037_7.npy
C1,38,0,-1,-1,data\windows_unified\C1_038_0.npy
C1,38,1,-1,-1,data\windows_unified\C1_038_1.npy
C1,38,2,-1,-1,data\windows_unified\C1_038_2.npy
C1,38,3,-1,-1,data\windows_unified\C1_038_3.npy
C1,38,4,-1,-1,data\windows_unified\C1_038_4.npy
C1,38,5,-1,-1,data\windows_unified\C1_038_5.npy
C1,38,6,-1,-1,data\windows_unified\C1_038_6.npy
C1,38,7,-1,-1,data\windows_unified\C1_038_7.npy
C1,39,0,-1,-1,data\windows_unified\C1_039_0.npy
C1,39,1,-1,-1,data\windows_unified\C1_039_1.npy
C1,39,2,-1,-1,data\windows_unified\C1_039_2.npy
C1,39,3,-1,-1,data\windows_unified\C1_039_3.npy
C1,39,4,-1,-1,data\windows_unified\C1_039_4.npy
C1,39,5,-1,-1,data\windows_unified\C1_039_5.npy
C1,39,6,-1,-1,data\windows_unified\C1_039_6.npy
C1,39,7,-1,-1,data\windows_unified\C1_039_7.npy
C1,40,0,-1,-1,data\windows_unified\C1_040_0.npy
C1,40,1,-1,-1,data\windows_unified\C1_040_1.npy
C1,40,2,-1,-1,data\windows_unified\C1_040_2.npy
C1,40,3,-1,-1,data\windows_unified\C1_040_3.npy
C1,40,4,-1,-1,data\windows_unified\C1_040_4.npy
C1,40,5,-1,-1,data\windows_unified\C1_040_5.npy
C1,40,6,-1,-1,data\windows_unified\C1_040_6.npy
C1,40,7,-1,-1,data\windows_unified\C1_040_7.npy
C1,41,0,-1,-1,data\windows_unified\C1_041_0.npy
C1,41,1,-1,-1,data\windows_unified\C1_041_1.npy
C1,41,2,-1,-1,data\windows_unified\C1_041_2.npy
C1,41,3,-1,-1,data\windows_unified\C1_041_3.npy
C1,41,4,-1,-1,data\windows_unified\C1_041_4.npy
C1,41,5,-1,-1,data\windows_unified\C1_041_5.npy
C1,41,6,-1,-1,data\windows_unified\C1_041_6.npy
C1,41,7,-1,-1,data\windows_unified\C1_041_7.npy
C1,42,0,-1,-1,data\windows_unified\C1_042_0.npy
C1,42,1,-1,-1,data\windows_unified\C1_042_1.npy
