condition,run_id,npy_path,stage_original,stage_original_id
C1,1,data\windows\C1_001.npy,initial,0
C1,2,data\windows\C1_002.npy,initial,0
C1,3,data\windows\C1_003.npy,initial,0
C1,4,data\windows\C1_004.npy,initial,0
C1,5,data\windows\C1_005.npy,initial,0
C1,6,data\windows\C1_006.npy,initial,0
C1,7,data\windows\C1_007.npy,initial,0
C1,8,data\windows\C1_008.npy,initial,0
C1,9,data\windows\C1_009.npy,initial,0
C1,10,data\windows\C1_010.npy,initial,0
C1,11,data\windows\C1_011.npy,initial,0
C1,12,data\windows\C1_012.npy,initial,0
C1,13,data\windows\C1_013.npy,initial,0
C1,14,data\windows\C1_014.npy,initial,0
C1,15,data\windows\C1_015.npy,initial,0
C1,16,data\windows\C1_016.npy,initial,0
C1,17,data\windows\C1_017.npy,initial,0
C1,18,data\windows\C1_018.npy,initial,0
C1,19,data\windows\C1_019.npy,initial,0
C1,20,data\windows\C1_020.npy,initial,0
C1,21,data\windows\C1_021.npy,initial,0
C1,22,data\windows\C1_022.npy,initial,0
C1,23,data\windows\C1_023.npy,initial,0
C1,24,data\windows\C1_024.npy,initial,0
C1,25,data\windows\C1_025.npy,initial,0
C1,26,data\windows\C1_026.npy,initial,0
C1,27,data\windows\C1_027.npy,initial,0
C1,28,data\windows\C1_028.npy,initial,0
C1,29,data\windows\C1_029.npy,initial,0
C1,30,data\windows\C1_030.npy,initial,0
C1,31,data\windows\C1_031.npy,initial,0
C1,32,data\windows\C1_032.npy,initial,0
C1,33,data\windows\C1_033.npy,initial,0
C1,34,data\windows\C1_034.npy,initial,0
C1,35,data\windows\C1_035.npy,initial,0
C1,36,data\windows\C1_036.npy,initial,0
C1,37,data\windows\C1_037.npy,initial,0
C1,38,data\windows\C1_038.npy,initial,0
C1,39,data\windows\C1_039.npy,initial,0
C1,40,data\windows\C1_040.npy,initial,0
C1,41,data\windows\C1_041.npy,initial,0
C1,42,data\windows\C1_042.npy,initial,0
C1,43,data\windows\C1_043.npy,initial,0
C1,44,data\windows\C1_044.npy,initial,0
C1,45,data\windows\C1_045.npy,initial,0
C1,46,data\windows\C1_046.npy,initial,0
C1,47,data\windows\C1_047.npy,initial,0
C1,48,data\windows\C1_048.npy,initial,0
C1,49,data\windows\C1_049.npy,initial,0
C1,50,data\windows\C1_050.npy,initial,0
C1,51,data\windows\C1_051.npy,normal,1
