config_id,lr,dropout,embed_dim,num_heads,window_size,depths,foldA_macro_f1,foldA_m_f1,foldA_acc,foldA_best_epoch,foldB_macro_f1,foldB_m_f1,foldB_acc,foldB_best_epoch,avg_macro_f1,avg_m_f1,n_params
lr0.0005_do0.2_ed64,0.0005,0.2,64,4,3,"(2, 2, 2, 2)",0.9614755913871575,0.9565217391304348,0.9605263157894737,6,0.8880075704963711,0.8605577689243028,0.8848684210526315,10,0.9247415809417643,0.9085397540273688,3502723
lr0.0001_do0.2_ed64,0.0001,0.2,64,4,3,"(2, 2, 2, 2)",0.9354356748457201,0.9295774647887324,0.9342105263157895,10,0.9131034482758621,0.8793103448275862,0.9078947368421053,1,0.9242695615607911,0.9044439048081593,3502723
lr0.0001_do0.1_ed64,0.0001,0.1,64,4,3,"(2, 2, 2, 2)",0.9321804280604872,0.9263157894736842,0.930921052631579,10,0.9157191076155214,0.8841201716738197,0.9111842105263158,1,0.9239497678380043,0.9052179805737519,3502723
lr0.0003_do0.1_ed64,0.0003,0.1,64,4,3,"(2, 2, 2, 2)",0.9514462226359401,0.946236559139785,0.9506578947368421,3,0.8875601677020116,0.8484848484848485,0.8848684210526315,9,0.9195031951689758,0.8973607038123168,3502723
lr0.0003_do0.2_ed64,0.0003,0.2,64,4,3,"(2, 2, 2, 2)",0.946627979847325,0.9420289855072463,0.9473684210526315,3,0.8812513264340774,0.8438818565400844,0.8782894736842105,12,0.9139396531407012,0.8929554210236654,3502723
lr0.0001_do0.1_ed32,0.0001,0.1,32,4,3,"(2, 2, 2, 2)",0.9062026862026862,0.9157509157509157,0.9078947368421053,2,0.9184013180802907,0.8888888888888888,0.9144736842105263,2,0.9123020021414885,0.9023199023199022,882067
lr0.0005_do0.1_ed64,0.0005,0.1,64,4,3,"(2, 2, 2, 2)",0.9741907827353077,0.9705882352941176,0.9736842105263158,4,0.8200425305688465,0.8,0.8125,21,0.8971166566520771,0.8852941176470588,3502723
lr0.0005_do0.1_ed32,0.0005,0.1,32,4,3,"(2, 2, 2, 2)",0.9543644448585965,0.9496402877697842,0.9539473684210527,4,0.8383380484581172,0.9008264462809917,0.8421052631578947,5,0.8963512466583569,0.9252333670253879,882067
lr0.0005_do0.2_ed32,0.0005,0.2,32,4,3,"(2, 2, 2, 2)",0.9410198263140502,0.9361702127659575,0.9407894736842105,4,0.833228429058484,0.8870967741935484,0.8355263157894737,2,0.8871241276862671,0.911633493479753,882067
lr0.0001_do0.2_ed32,0.0001,0.2,32,4,3,"(2, 2, 2, 2)",0.8302354377028478,0.8407643312101911,0.8355263157894737,3,0.9184013180802907,0.8888888888888888,0.9144736842105263,2,0.8743183778915693,0.86482661004954,882067
lr0.0003_do0.1_ed32,0.0003,0.1,32,4,3,"(2, 2, 2, 2)",0.821359989120087,0.868421052631579,0.8453947368421053,1,0.9113846153846153,0.888,0.9078947368421053,1,0.8663723022523512,0.8782105263157896,882067
lr0.0003_do0.2_ed32,0.0003,0.2,32,4,3,"(2, 2, 2, 2)",0.8092450254448448,0.8590163934426229,0.8355263157894737,1,0.9047619047619048,0.8809523809523809,0.9013157894736842,1,0.8570034651033748,0.8699843871975019,882067
