condition,run_id,subwindow,stage_original,stage_original_id,VB,stage_unified,stage_unified_id
C1,1,0,initial,0,48.89261732,early,0
C1,1,1,initial,0,48.89261732,early,0
C1,1,2,initial,0,48.89261732,early,0
C1,1,3,initial,0,48.89261732,early,0
C1,1,4,initial,0,48.89261732,early,0
C1,2,0,initial,0,49.57081504,early,0
C1,2,1,initial,0,49.57081504,early,0
C1,2,2,initial,0,49.57081504,early,0
C1,2,3,initial,0,49.57081504,early,0
C1,2,4,initial,0,49.57081504,early,0
C1,3,0,initial,0,50.30286727,early,0
C1,3,1,initial,0,50.30286727,early,0
C1,3,2,initial,0,50.30286727,early,0
C1,3,3,initial,0,50.30286727,early,0
C1,3,4,initial,0,50.30286727,early,0
C1,4,0,initial,0,51.08365203,early,0
C1,4,1,initial,0,51.08365203,early,0
C1,4,2,initial,0,51.08365203,early,0
C1,4,3,initial,0,51.08365203,early,0
C1,4,4,initial,0,51.08365203,early,0
C1,5,0,initial,0,52.25032922,early,0
C1,5,1,initial,0,52.25032922,early,0
C1,5,2,initial,0,52.25032922,early,0
C1,5,3,initial,0,52.25032922,early,0
C1,5,4,initial,0,52.25032922,early,0
C1,6,0,initial,0,56.28276562,early,0
C1,6,1,initial,0,56.28276562,early,0
C1,6,2,initial,0,56.28276562,early,0
C1,6,3,initial,0,56.28276562,early,0
C1,6,4,initial,0,56.28276562,early,0
C1,7,0,initial,0,59.97661561,early,0
C1,7,1,initial,0,59.97661561,early,0
C1,7,2,initial,0,59.97661561,early,0
C1,7,3,initial,0,59.97661561,early,0
C1,7,4,initial,0,59.97661561,early,0
C1,8,0,initial,0,63.3512879,early,0
C1,8,1,initial,0,63.3512879,early,0
C1,8,2,initial,0,63.3512879,early,0
C1,8,3,initial,0,63.3512879,early,0
C1,8,4,initial,0,63.3512879,early,0
C1,9,0,initial,0,66.4253909,early,0
C1,9,1,initial,0,66.4253909,early,0
C1,9,2,initial,0,66.4253909,early,0
C1,9,3,initial,0,66.4253909,early,0
C1,9,4,initial,0,66.4253909,early,0
C1,10,0,initial,0,69.21675719,early,0
C1,10,1,initial,0,69.21675719,early,0
C1,10,2,initial,0,69.21675719,early,0
C1,10,3,initial,0,69.21675719,early,0
C1,10,4,initial,0,69.21675719,early,0
C1,11,0,initial,0,71.74246752,early,0
C1,11,1,initial,0,71.74246752,early,0
