condition,run_id,stage_original,stage_original_id,VB,stage_unified,stage_unified_id
C1,1,initial,0,48.89261732,early,0
C1,2,initial,0,49.57081504,early,0
C1,3,initial,0,50.30286727,early,0
C1,4,initial,0,51.08365203,early,0
C1,5,initial,0,52.25032922,early,0
C1,6,initial,0,56.28276562,early,0
C1,7,initial,0,59.97661561,early,0
C1,8,initial,0,63.3512879,early,0
C1,9,initial,0,66.4253909,early,0
C1,10,initial,0,69.21675719,early,0
C1,11,initial,0,71.74246752,early,0
C1,12,initial,0,74.01887416,early,0
C1,13,initial,0,76.06162381,early,0
C1,14,initial,0,77.88567991,early,0
C1,15,initial,0,79.50534445,early,0
C1,16,initial,0,80.93427925,early,0
C1,17,initial,0,82.18552678,early,0
C1,18,initial,0,83.27153045,early,0
C1,19,initial,0,84.20415441,early,0
C1,20,initial,0,84.99470288,early,0
C1,21,initial,0,85.653939,early,0
C1,22,initial,0,86.19210327,early,0
C1,23,initial,0,86.61893145,early,0
C1,24,initial,0,86.94367205,early,0
C1,25,initial,0,87.17510345,early,0
C1,26,initial,0,87.32155046,early,0
C1,27,initial,0,87.39090058,early,0
C1,28,initial,0,87.39090058,early,0
C1,29,initial,0,87.39090058,early,0
C1,30,initial,0,87.39090058,early,0
C1,31,initial,0,87.39090058,early,0
C1,32,initial,0,87.39090058,early,0
C1,33,initial,0,87.39090058,early,0
C1,34,initial,0,87.39090058,early,0
C1,35,initial,0,87.39090058,early,0
C1,36,initial,0,87.39090058,early,0
C1,37,initial,0,87.39090058,early,0
C1,38,initial,0,87.39090058,early,0
C1,39,initial,0,87.39090058,early,0
C1,40,initial,0,87.39090058,early,0
C1,41,initial,0,87.39090058,early,0
C1,42,initial,0,87.39090058,early,0
C1,43,initial,0,87.39090058,early,0
C1,44,initial,0,87.39090058,early,0
C1,45,initial,0,87.39554943,early,0
C1,46,initial,0,87.92458016,early,0
C1,47,initial,0,88.42988794,early,0
C1,48,normal,1,88.91169574,early,0
C1,49,normal,1,89.37026282,early,0
C1,50,normal,1,89.80588243,early,0
C1,51,normal,1,90.21887955,early,0
C1,52,normal,1,90.60960878,early,0
C1,53,normal,1,90.97845225,early,0
C1,54,normal,1,91.32581757,early,0
C1,55,normal,1,91.65213593,early,0
C1,56,normal,1,91.95786023,early,0
C1,57,normal,1,92.24346325,early,0
C1,58,normal,1,92.50943591,early,0
C1,59,normal,1,92.7562856,early,0
C1,60,normal,1,92.98453457,early,0
C1,61,normal,1,93.19471836,early,0
C1,62,normal,1,93.38738431,early,0
C1,63,normal,1,93.56309014,early,0
C1,64,normal,1,93.72240252,early,0
C1,65,normal,1,93.86589581,early,0
C1,66,normal,1,93.99415074,early,0
C1,67,normal,1,94.10775318,early,0
C1,68,normal,1,94.20729304,early,0
C1,69,normal,1,94.29336308,early,0
C1,70,normal,1,94.36655788,early,0
C1,71,normal,1,94.42747281,early,0
C1,72,normal,1,94.47670304,early,0
C1,73,normal,1,94.51484266,early,0
C1,74,normal,1,94.54248373,early,0
C1,75,normal,1,94.5602155,early,0
C1,76,normal,1,94.56862356,early,0
C1,77,normal,1,94.56862356,early,0
C1,78,normal,1,94.56862356,early,0
C1,79,normal,1,94.56862356,early,0
C1,80,normal,1,94.56862356,early,0
C1,81,normal,1,94.56862356,early,0
C1,82,normal,1,94.56862356,early,0
C1,83,normal,1,94.56862356,early,0
C1,84,normal,1,94.56862356,early,0
C1,85,normal,1,94.56862356,early,0
C1,86,normal,1,94.56862356,early,0
C1,87,normal,1,94.56862356,early,0
C1,88,normal,1,94.56862356,early,0
C1,89,normal,1,94.56862356,early,0
C1,90,normal,1,94.56862356,early,0
C1,91,normal,1,94.56862356,early,0
C1,92,normal,1,94.56862356,early,0
C1,93,normal,1,94.56862356,early,0
C1,94,normal,1,94.56862356,early,0
C1,95,normal,1,94.56862356,early,0
C1,96,normal,1,94.56862356,early,0
C1,97,normal,1,94.56862356,early,0
C1,98,normal,1,94.56862356,early,0
C1,99,normal,1,94.56862356,early,0
C1,100,normal,1,94.56862356,early,0
C1,101,normal,1,94.56862356,early,0
C1,102,normal,1,94.56862356,early,0
C1,103,normal,1,94.56862356,early,0
C1,104,normal,1,94.56862356,early,0
C1,105,normal,1,94.56862356,early,0
C1,106,normal,1,94.56862356,early,0
C1,107,normal,1,94.56862356,early,0
C1,108,normal,1,94.56862356,early,0
C1,109,normal,1,94.56862356,early,0
C1,110,normal,1,94.56862356,early,0
C1,111,normal,1,94.56862356,early,0
C1,112,normal,1,94.56862356,early,0
C1,113,normal,1,94.56862356,early,0
C1,114,normal,1,94.56862356,early,0
C1,115,normal,1,94.56862356,early,0
C1,116,normal,1,94.56862356,early,0
C1,117,normal,1,94.56862356,middle,1
C1,118,normal,1,94.56862356,middle,1
C1,119,normal,1,94.56862356,middle,1
C1,120,normal,1,94.58162515,middle,1
C1,121,normal,1,94.88972237,middle,1
C1,122,normal,1,95.19110376,middle,1
C1,123,normal,1,95.48569329,middle,1
C1,124,normal,1,95.77343457,middle,1
C1,125,normal,1,96.05429047,middle,1
C1,126,normal,1,96.32824273,middle,1
C1,127,normal,1,96.59529149,middle,1
C1,128,normal,1,96.85545491,middle,1
C1,129,normal,1,97.10876863,middle,1
C1,130,normal,1,97.35528535,middle,1
C1,131,normal,1,97.59507432,middle,1
C1,132,normal,1,97.82822082,middle,1
C1,133,normal,1,98.05482567,middle,1
C1,134,normal,1,98.27500469,middle,1
C1,135,normal,1,98.48888816,middle,1
C1,136,normal,1,98.69662026,middle,1
C1,137,normal,1,98.89835857,middle,1
C1,138,normal,1,99.09427345,middle,1
C1,139,normal,1,99.2845475,middle,1
C1,140,normal,1,99.469375,middle,1
C1,141,normal,1,99.64896132,middle,1
C1,142,normal,1,99.82352237,middle,1
C1,143,normal,1,99.99328397,middle,1
C1,144,normal,1,100.1584813,middle,1
C1,145,normal,1,100.3193584,middle,1
C1,146,normal,1,100.4761675,middle,1
C1,147,severe,2,100.6291683,middle,1
C1,148,severe,2,100.7786279,middle,1
C1,149,severe,2,100.9248194,middle,1
C1,150,severe,2,101.1797629,middle,1
C1,151,severe,2,101.5974715,middle,1
C1,152,severe,2,102.0215369,middle,1
C1,153,severe,2,102.4516511,middle,1
C1,154,severe,2,102.887502,middle,1
C1,155,severe,2,103.328774,middle,1
C1,156,severe,2,103.7751482,middle,1
C1,157,severe,2,104.2263032,middle,1
C1,158,severe,2,104.6819154,middle,1
C1,159,severe,2,105.1416593,middle,1
C1,160,severe,2,105.6052085,middle,1
C1,161,severe,2,106.0722354,middle,1
C1,162,severe,2,106.5424124,middle,1
C1,163,severe,2,107.0154117,middle,1
C1,164,severe,2,107.4909062,middle,1
C1,165,severe,2,107.9685697,middle,1
C1,166,severe,2,108.4480774,middle,1
C1,167,severe,2,108.9291061,middle,1
C1,168,severe,2,109.4113349,middle,1
C1,169,severe,2,109.8944454,middle,1
C1,170,severe,2,110.3781221,middle,1
C1,171,severe,2,110.8620528,middle,1
C1,172,severe,2,111.3459291,middle,1
C1,173,severe,2,111.8294463,middle,1
C1,174,severe,2,112.3123042,middle,1
C1,175,severe,2,112.7942074,middle,1
C1,176,severe,2,113.2748654,middle,1
C1,177,severe,2,113.7539929,middle,1
C1,178,severe,2,114.2313103,middle,1
C1,179,severe,2,114.7065438,middle,1
C1,180,severe,2,115.179426,middle,1
C1,181,severe,2,115.6496958,middle,1
C1,182,severe,2,116.1170987,middle,1
C1,183,severe,2,116.5813874,middle,1
C1,184,severe,2,117.0423215,middle,1
C1,185,severe,2,117.4996682,middle,1
C1,186,severe,2,117.9532024,middle,1
C1,187,severe,2,118.4027067,middle,1
C1,188,severe,2,118.8479717,middle,1
C1,189,severe,2,119.2887964,middle,1
C1,190,severe,2,119.724988,middle,1
C1,191,severe,2,120.1563624,middle,1
C1,192,severe,2,120.5827442,middle,1
C1,193,severe,2,121.0039667,middle,1
C1,194,severe,2,121.4198724,middle,1
C1,195,severe,2,121.8303128,middle,1
C1,196,severe,2,122.2351485,middle,1
