Method,Label,precision,recall,f1-score,support
B1,early,1.0,0.2976,0.4587,84.0
B1,middle,0.5755,0.6202,0.597,129.0
B1,late,0.65,1.0,0.7879,91.0
B1,accuracy,,,0.6447,304.0
B1,macro avg,0.7418,0.6393,0.6145,304.0
B1,weighted avg,0.7151,0.6447,0.6159,304.0
B2,early,0.5793,1.0,0.7336,84.0
B2,middle,0.0,0.0,0.0,129.0
B2,late,0.5723,1.0,0.728,91.0
B2,accuracy,,,0.5757,304.0
B2,macro avg,0.3839,0.6667,0.4872,304.0
B2,weighted avg,0.3314,0.5757,0.4206,304.0
B3,early,0.913,1.0,0.9545,84.0
B3,middle,0.9758,0.938,0.9565,129.0
B3,late,1.0,0.967,0.9832,91.0
B3,accuracy,,,0.9638,304.0
B3,macro avg,0.9629,0.9683,0.9648,304.0
B3,weighted avg,0.9657,0.9638,0.964,304.0
B4,early,0.7885,0.9762,0.8723,84.0
B4,middle,0.8492,0.8295,0.8392,129.0
B4,late,1.0,0.8132,0.897,91.0
B4,accuracy,,,0.8651,304.0
B4,macro avg,0.8792,0.8729,0.8695,304.0
B4,weighted avg,0.8776,0.8651,0.8657,304.0
B5,early,0.954,0.9881,0.9708,84.0
B5,middle,0.9764,0.9612,0.9688,129.0
B5,late,0.9889,0.978,0.9834,91.0
B5,accuracy,,,0.9737,304.0
B5,macro avg,0.9731,0.9758,0.9743,304.0
B5,weighted avg,0.9739,0.9737,0.9737,304.0
B6,early,0.9231,0.7143,0.8054,84.0
B6,middle,0.7949,0.9612,0.8702,129.0
B6,late,1.0,0.9121,0.954,91.0
B6,accuracy,,,0.8783,304.0
B6,macro avg,0.906,0.8625,0.8765,304.0
B6,weighted avg,0.8917,0.8783,0.8774,304.0
B7,early,0.9825,0.6667,0.7943,84.0
B7,middle,0.791,0.8217,0.8061,129.0
B7,late,0.8053,1.0,0.8922,91.0
B7,accuracy,,,0.8322,304.0
B7,macro avg,0.8596,0.8295,0.8309,304.0
B7,weighted avg,0.8482,0.8322,0.8286,304.0
B8,early,0.7636,1.0,0.866,84.0
B8,middle,1.0,0.6434,0.783,129.0
B8,late,0.8198,1.0,0.901,91.0
B8,accuracy,,,0.8487,304.0
B8,macro avg,0.8612,0.8811,0.85,304.0
B8,weighted avg,0.8808,0.8487,0.8413,304.0
B9,early,0.8077,1.0,0.8936,84.0
B9,middle,1.0,0.7287,0.843,129.0
B9,late,0.8585,1.0,0.9239,91.0
B9,accuracy,,,0.8849,304.0
B9,macro avg,0.8887,0.9096,0.8868,304.0
B9,weighted avg,0.9045,0.8849,0.8812,304.0
B10,early,0.7,1.0,0.8235,84.0
B10,middle,0.9605,0.5659,0.7122,129.0
B10,late,0.8148,0.967,0.8844,91.0
B10,accuracy,,,0.8059,304.0
B10,macro avg,0.8251,0.8443,0.8067,304.0
B10,weighted avg,0.8449,0.8059,0.7945,304.0
B11,early,0.7368,1.0,0.8485,84.0
B11,middle,1.0,0.5426,0.7035,129.0
B11,late,0.7583,1.0,0.8626,91.0
B11,accuracy,,,0.8059,304.0
B11,macro avg,0.8317,0.8475,0.8049,304.0
B11,weighted avg,0.8549,0.8059,0.7912,304.0
B12,early,0.7368,1.0,0.8485,84.0
B12,middle,0.9722,0.5426,0.6965,129.0
B12,late,0.7542,0.978,0.8517,91.0
B12,accuracy,,,0.7993,304.0
B12,macro avg,0.8211,0.8402,0.7989,304.0
B12,weighted avg,0.8419,0.7993,0.785,304.0
