Method,Method_name,Stage_definition,Model_type,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Pre,M-Rec,M→E,M→L,Rev,Jump,Smooth
B1,Fixed-stage Rule,Fixed-stage,wear-threshold reference,0.6447,0.6145,0.4587,0.597,0.7879,0.5755,0.6202,0.0,0.3798,0,0,0.0132
B2,Relative-stage Proxy Rule,Relative-stage,sensor-derived q_proxy rule,0.5757,0.4872,0.7336,0.0,0.728,0.0,0.0,0.4729,0.5271,6,13,0.0858
B3,Fixed-stage RF,Fixed-stage,RF,0.9737,0.9743,0.9655,0.9685,0.9889,0.984,0.9535,0.0465,0.0,6,0,0.1198
B4,Relative-stage SVM,Relative-stage,SVM,0.8651,0.8695,0.8723,0.8392,0.897,0.8492,0.8295,0.1705,0.0,10,0,0.1571
B5,Relative-stage RF,Relative-stage,RF,0.977,0.9774,0.9708,0.9723,0.9891,0.9919,0.9535,0.031,0.0155,5,0,0.1099
B6,Relative-stage XGBoost,Relative-stage,xgboost,0.8783,0.8765,0.8054,0.8702,0.954,0.7949,0.9612,0.0388,0.0,9,0,0.142
B7,Relative-stage MLP,Relative-stage,MLP,0.8651,0.8716,0.9711,0.8313,0.8125,0.886,0.7829,0.0388,0.1783,12,2,0.1555
B8,Relative-stage TCN,Relative-stage,TCN,0.9046,0.907,0.8936,0.8755,0.9519,0.9808,0.7907,0.155,0.0543,11,0,0.0706
B9,Relative-stage GRU,Relative-stage,GRU,0.9507,0.953,0.9825,0.9383,0.9381,1.0,0.8837,0.0233,0.093,2,0,0.0343
B10,Relative-stage TCN-GRU,Relative-stage,TCN-GRU,0.8289,0.8378,0.9711,0.7476,0.7948,1.0,0.5969,0.0388,0.3643,4,2,0.0719
B11,Multi-task TCN-GRU,Relative-stage,TCN-GRU + auxiliary heads,0.9704,0.9712,0.9655,0.9647,0.9832,0.9762,0.9535,0.0465,0.0,0,0,0.0191
B12,FGDS-PSI,Relative-stage,Proposed,0.9671,0.968,0.9655,0.9609,0.9775,0.9685,0.9535,0.0465,0.0,0,0,0.0149
