Method,method_id,Task,source,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth
RF,rf,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.9769736842105264,0.9773279380019092,0.9651162790697676,0.9723320158102768,0.994535519125683,0.9919354838709676,0.9534883720930232,0.0387596899224803,0.007751937984496,5,0,0.11049504950495051
RF,rf,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/rf/metrics.json)",0.8980263157894737,0.9030558663001741,0.865979381443299,0.8724279835390947,0.9707602339181286,0.954954954954955,0.803030303030303,0.1969696969696955,0.0,2,0,0.07158415841584158
RF,rf,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/rf/metrics.json)",0.8914473684210527,0.8962893096971309,0.8484848484848485,0.8571428571428571,0.9832402234636871,0.825,0.8918918918918919,0.08108108108108035,0.027027027027026786,6,0,0.091996699669967
TCN-GRU,tcn_gru,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.868421052631579,0.8745597385825539,0.8316831683168316,0.8260869565217391,0.9659090909090908,0.9405940594059404,0.7364341085271318,0.2635658914728662,0.0,0,0,0.02195115511551155
TCN-GRU,tcn_gru,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/tcn_gru/metrics.json)",0.569078947368421,0.5050491050976135,0.6021505376344086,0.015037593984962405,0.8979591836734694,1.0,0.007575757575757576,0.8409090909090846,0.15151515151515038,3,5,0.004917010199278593
TCN-GRU,tcn_gru,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/tcn_gru/metrics.json)",0.881578947368421,0.8837681108943994,0.90625,0.8378378378378378,0.9072164948453608,0.8378378378378378,0.8378378378378378,0.0,0.1621621621621607,0,0,0.015495850704610348
Multi-task TCN-GRU,multitask_tcn_gru,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.9901315789473684,0.9902304781561748,0.9824561403508772,0.9882352941176472,1.0,1.0,0.9767441860465116,0.0232558139534881,0.0,0,0,0.023590099009900993
Multi-task TCN-GRU,multitask_tcn_gru,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/multitask_tcn_gru/metrics.json)",0.7993421052631579,0.8114584191307691,0.75,0.7136150234741784,0.9707602339181286,0.9382716049382716,0.5757575757575758,0.42424242424242103,0.0,0,0,0.013134642504155636
Multi-task TCN-GRU,multitask_tcn_gru,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/multitask_tcn_gru/metrics.json)",0.8552631578947368,0.8574805823509947,0.900523560209424,0.7962962962962963,0.8756218905472637,0.819047619047619,0.7747747747747747,0.0,0.2252252252252232,0,0,0.013547025620937347
DC-PSR,dc_psr,D1,reused fixed-model point estimate (results/D1_MAIN_BOOTSTRAP_CI.csv),0.986842105263158,0.9871020928241414,0.9824561403508772,0.984375,0.994475138121547,0.9921259842519684,0.9767441860465116,0.0232558139534881,0.0,0,0,0.018762706270627056
DC-PSR,dc_psr,D2,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D2/dc_psr/metrics.json)",0.7960526315789473,0.8083246901320388,0.7466666666666667,0.7075471698113207,0.9707602339181286,0.9375,0.5681818181818182,0.43181818181817855,0.0,0,0,0.012266389141166466
DC-PSR,dc_psr,D3,"freshly trained, TRAIN_SEED=42 (transfer_tasks/D3/dc_psr/metrics.json)",0.8618421052631579,0.8640950401011575,0.900523560209424,0.8073394495412844,0.8844221105527639,0.822429906542056,0.7927927927927928,0.0,0.20720720720720534,0,0,0.014321893110665071
