Method,Task,raw_value,normalized_score,rank,metric,normalization
DC-PSR,D1,0.986842105263158,0.9846153846153852,2,Acc,(x-min_task)/(max_task-min_task)
DC-PSR,D2,0.7960526315789473,0.7809381411036544,6,Acc,(x-min_task)/(max_task-min_task)
DC-PSR,D3,0.8618421052631579,0.6540453527435607,6,Acc,(x-min_task)/(max_task-min_task)
Multi-task TCN-GRU,D1,0.9901315789473684,1.0,1,Acc,(x-min_task)/(max_task-min_task)
Multi-task TCN-GRU,D2,0.7993421052631579,0.786414687576063,5,Acc,(x-min_task)/(max_task-min_task)
Multi-task TCN-GRU,D3,0.8552631578947368,0.631998880179171,7,Acc,(x-min_task)/(max_task-min_task)
TCN-GRU,D1,0.868421052631579,0.4307692307692311,6,Acc,(x-min_task)/(max_task-min_task)
TCN-GRU,D2,0.569078947368421,0.4030564345074585,8,Acc,(x-min_task)/(max_task-min_task)
TCN-GRU,D3,0.881578947368421,0.7201847704367298,5,Acc,(x-min_task)/(max_task-min_task)
RF,D1,0.9769736842105264,0.9384615384615393,3,Acc,(x-min_task)/(max_task-min_task)
RF,D2,0.8980263157894737,0.9507110817483223,3,Acc,(x-min_task)/(max_task-min_task)
RF,D3,0.8914473684210527,0.7532544792833145,4,Acc,(x-min_task)/(max_task-min_task)
HTT-Net,D1,0.7763157894736842,0.0,9,Acc,(x-min_task)/(max_task-min_task)
HTT-Net,D2,0.9276315789473684,1.0,1,Acc,(x-min_task)/(max_task-min_task)
HTT-Net,D3,0.9111842105263158,0.8193938969764836,2,Acc,(x-min_task)/(max_task-min_task)
Multi-source Attention,D1,0.8125,0.16923076923076938,7,Acc,(x-min_task)/(max_task-min_task)
Multi-source Attention,D2,0.326984126984127,0.0,9,Acc,(x-min_task)/(max_task-min_task)
Multi-source Attention,D3,0.6666666666666666,0.0,9,Acc,(x-min_task)/(max_task-min_task)
MTF-AViTK,D1,0.9703947368421052,0.9076923076923077,4,Acc,(x-min_task)/(max_task-min_task)
MTF-AViTK,D2,0.7936507936507936,0.7769393928857052,7,Acc,(x-min_task)/(max_task-min_task)
MTF-AViTK,D3,0.8412698412698413,0.5851063829787232,8,Acc,(x-min_task)/(max_task-min_task)
Dynamic GIN + TGP,D1,0.8026315789473685,0.12307692307692347,8,Acc,(x-min_task)/(max_task-min_task)
Dynamic GIN + TGP,D2,0.9111111111111112,0.9724955666052368,2,Acc,(x-min_task)/(max_task-min_task)
Dynamic GIN + TGP,D3,0.9650793650793652,1.0,1,Acc,(x-min_task)/(max_task-min_task)
DP2Net-adapted,D1,0.9046052631578948,0.6000000000000005,5,Acc,(x-min_task)/(max_task-min_task)
DP2Net-adapted,D2,0.873015873015873,0.9090719426961995,4,Acc,(x-min_task)/(max_task-min_task)
DP2Net-adapted,D3,0.8920634920634921,0.7553191489361701,3,Acc,(x-min_task)/(max_task-min_task)
DC-PSR,D1,0.984375,0.9887258410880454,2,M_F1,(x-min_task)/(max_task-min_task)
DC-PSR,D2,0.7075471698113207,0.7626427112125944,7,M_F1,(x-min_task)/(max_task-min_task)
DC-PSR,D3,0.8073394495412844,0.572901150821134,6,M_F1,(x-min_task)/(max_task-min_task)
Multi-task TCN-GRU,D1,0.9882352941176472,1.0,1,M_F1,(x-min_task)/(max_task-min_task)
Multi-task TCN-GRU,D2,0.7136150234741784,0.7693250799916269,6,M_F1,(x-min_task)/(max_task-min_task)
Multi-task TCN-GRU,D3,0.7962962962962963,0.5394547857060781,8,M_F1,(x-min_task)/(max_task-min_task)
TCN-GRU,D1,0.8260869565217391,0.5264386418100897,6,M_F1,(x-min_task)/(max_task-min_task)
TCN-GRU,D2,0.0150375939849624,0.0,9,M_F1,(x-min_task)/(max_task-min_task)
TCN-GRU,D3,0.8378378378378378,0.6652715279912795,5,M_F1,(x-min_task)/(max_task-min_task)
RF,D1,0.9723320158102768,0.9535537755947953,3,M_F1,(x-min_task)/(max_task-min_task)
RF,D2,0.8724279835390947,0.9442216455663022,3,M_F1,(x-min_task)/(max_task-min_task)
RF,D3,0.8571428571428571,0.7237405820652972,4,M_F1,(x-min_task)/(max_task-min_task)
HTT-Net,D1,0.6458333333333334,0.0,9,M_F1,(x-min_task)/(max_task-min_task)
HTT-Net,D2,0.9230769230769232,1.0,1,M_F1,(x-min_task)/(max_task-min_task)
HTT-Net,D3,0.8870292887029289,0.8142575277028982,2,M_F1,(x-min_task)/(max_task-min_task)
Multi-source Attention,D1,0.7543859649122807,0.3170327393286364,8,M_F1,(x-min_task)/(max_task-min_task)
Multi-source Attention,D2,0.0425531914893617,0.030302208971405342,8,M_F1,(x-min_task)/(max_task-min_task)
Multi-source Attention,D3,0.6181818181818182,0.0,9,M_F1,(x-min_task)/(max_task-min_task)
MTF-AViTK,D1,0.9657794676806084,0.9344167703198867,4,M_F1,(x-min_task)/(max_task-min_task)
MTF-AViTK,D2,0.723404255319149,0.7801057053801327,5,M_F1,(x-min_task)/(max_task-min_task)
MTF-AViTK,D3,0.8015873015873016,0.5554796375634017,7,M_F1,(x-min_task)/(max_task-min_task)
Dynamic GIN + TGP,D1,0.7560975609756098,0.32203153098102183,7,M_F1,(x-min_task)/(max_task-min_task)
Dynamic GIN + TGP,D2,0.8833333333333333,0.9562314225053077,2,M_F1,(x-min_task)/(max_task-min_task)
Dynamic GIN + TGP,D3,0.9483568075117372,1.0,1,M_F1,(x-min_task)/(max_task-min_task)
DP2Net-adapted,D1,0.896797153024911,0.7329508835659532,5,M_F1,(x-min_task)/(max_task-min_task)
DP2Net-adapted,D2,0.8214285714285714,0.8880573248407642,4,M_F1,(x-min_task)/(max_task-min_task)
