dataset_id,task_id,train,test,status,test_universe
PHM2010,D1,C1+C4,C6,DONE,common_304_run for main comparison
PHM2010,D2,C1+C6,C4,DONE,method-native
PHM2010,D3,C4+C6,C1,DONE,method-native
NASA_MILLING,N1,original split,held-out cases,DONE,task-native
NASA_MILLING,N2,original split,held-out cases,DONE,task-native
NASA_MILLING,N3,original split,held-out cases,DONE,task-native
NASA_MILLING,N4,original split,held-out cases,DONE,task-native
MENDELEY_CROSS_MACHINE,D1-M,M1+M2,M3,DONE_5_SEEDS,run-level
MENDELEY_CROSS_MACHINE,D2-M,M1+M3,M2,DONE_5_SEEDS,run-level
MENDELEY_CROSS_MACHINE,D3-M,M2+M3,M1,DONE_5_SEEDS,run-level
