dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D1-M,A1,42,ablation,raw,0.3146131805157593,0.2173642103447588,0.5629213483146067,0.082437275985663,0.0067340067340067,0.1002178649237472,0.0700152207001522,"early,middle,late",0.9223744292237442,0.0076103500761035,657,16,4,0.0347935321138213,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,A2,42,ablation,raw_fine,0.3415472779369627,0.2521185594954642,0.5939537640782454,0.152317880794702,0.0100840336134453,0.1669691470054446,0.1400304414003044,"early,middle,late",0.852359208523592,0.0076103500761035,657,15,4,0.0218569511825251,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,A3,42,ablation,raw_prior,0.335243553008596,0.2427261713288551,0.5845974329054843,0.1402027027027027,0.0033783783783783,0.1574952561669829,0.1263318112633181,"early,middle,late",0.867579908675799,0.0060882800608828,657,17,0,0.0245233064973907,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,A4,42,ablation,mix,0.3363896848137536,0.2448224287687421,0.5863077823288473,0.1414141414141414,0.0067453625632377,0.1581920903954802,0.1278538812785388,"early,middle,late",0.8660578386605784,0.0060882800608828,657,17,0,0.0235978651345265,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,A5,42,ablation,ordered,0.3495702005730659,0.2605575757575757,0.6072727272727273,0.1744,0.0,0.1838111298482293,0.1659056316590563,"early,middle,late",0.8295281582952816,0.0045662100456621,657,9,0,0.0235205331448857,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,A6,42,ablation,final,0.3432664756446991,0.2535566045936637,0.5989240884638374,0.1583673469387755,0.0033783783783783,0.1707746478873239,0.1476407914764079,"early,middle,late",0.8462709284627092,0.0060882800608828,657,12,2,0.0225412037737451,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,A1,52,ablation,raw,0.3759312320916905,0.2787939473688809,0.5279241306638567,0.308457711442786,0.0,0.4454022988505747,0.2359208523592085,"early,middle,late",0.7640791476407914,0.0,657,1,0,0.0085577993898574,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,A2,52,ablation,raw_fine,0.3828080229226361,0.2865666838020182,0.5312831389183457,0.3284169124877089,0.0,0.4638888888888889,0.2541856925418569,"early,middle,late",0.745814307458143,0.0,657,2,0,0.0051779089707373,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,A3,52,ablation,raw_prior,0.388538681948424,0.2927686259924478,0.5372654155495978,0.3410404624277456,0.0,0.4645669291338583,0.2694063926940639,"early,middle,late",0.730593607305936,0.0,657,4,0,0.0077159337036427,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,A4,52,ablation,mix,0.3868194842406877,0.2909591950822103,0.5346851654215582,0.3381924198250728,0.0,0.4677419354838709,0.2648401826484018,"early,middle,late",0.7351598173515982,0.0,657,3,0,0.0068257881017191,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
