dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D1-M,B11,42,baseline,raw,0.3146131805157593,0.2173642103447588,0.5629213483146067,0.082437275985663,0.0067340067340067,0.1002178649237472,0.0700152207001522,"early,middle,late",0.9223744292237442,0.0076103500761035,657,16,4,0.0347935321138213,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,B12,42,proposed,final,0.3432664756446991,0.2535566045936637,0.5989240884638374,0.1583673469387755,0.0033783783783783,0.1707746478873239,0.1476407914764079,"early,middle,late",0.8462709284627092,0.0060882800608828,657,12,2,0.0225412037737451,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,B9,42,baseline,b9,0.3363896848137536,0.264969363537156,0.5712656784492588,0.0513796384395813,0.1722627737226277,0.0685279187817258,0.0410958904109589,"early,middle,late",0.8995433789954338,0.0593607305936073,657,13,11,0.0362701649155016,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,42,baseline,b10,0.3060171919770774,0.2171089848912057,0.5664217071791973,0.0273972602739726,0.0575079872204472,0.0342465753424657,0.0228310502283105,"early,middle,late",0.9452054794520548,0.0319634703196347,657,11,6,0.033879526775134,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B11,52,baseline,raw,0.3759312320916905,0.2787939473688809,0.5279241306638567,0.308457711442786,0.0,0.4454022988505747,0.2359208523592085,"early,middle,late",0.7640791476407914,0.0,657,1,0,0.0085577993898574,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,B12,52,proposed,final,0.3856733524355301,0.2897634289126718,0.532695374800638,0.3365949119373776,0.0,0.4712328767123288,0.2617960426179604,"early,middle,late",0.7382039573820396,0.0,657,0,0,0.0060785311267285,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,B9,52,baseline,b9,0.3799426934097421,0.3134881248977217,0.547840349917988,0.18860103626943,0.2040229885057471,0.2954545454545454,0.1385083713850837,"early,middle,late",0.8036529680365296,0.0578386605783866,657,23,12,0.0582275865535441,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,52,baseline,b10,0.3736389684813753,0.2761707272748282,0.526813880126183,0.3016983016983017,0.0,0.438953488372093,0.2298325722983257,"early,middle,late",0.7701674277016742,0.0,657,1,0,0.007583116344791,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B11,62,baseline,raw,0.4401146131805157,0.4266234553837193,0.6179507545671168,0.1955896452540748,0.4663299663299663,0.2642487046632124,0.1552511415525114,"early,middle,late",0.5220700152207002,0.3226788432267884,657,38,24,0.0775925142778051,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,B12,62,proposed,final,0.4636103151862464,0.4663288686117032,0.6255430060816681,0.3403225806451613,0.4331210191082802,0.3619210977701543,0.3211567732115677,"early,middle,late",0.4185692541856925,0.2602739726027397,657,29,3,0.0622948446255972,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103,
mendeley,primary,cross_machine_dual,D1-M,B9,62,baseline,b9,0.4893982808022922,0.4547796250789679,0.6255506607929515,0.1383783783783783,0.6004098360655737,0.2388059701492537,0.0974124809741248,"early,middle,late",0.7625570776255708,0.1400304414003044,657,26,21,0.0522709958998825,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,62,baseline,b10,0.4332378223495702,0.392246719502246,0.6021634615384616,0.1049317943336831,0.4696449026345933,0.1689189189189189,0.076103500761035,"early,middle,late",0.8006088280060882,0.1232876712328767,657,27,0,0.043954434180707,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B11,72,baseline,raw,0.3650429799426934,0.2897306328557693,0.5580357142857143,0.1868787276341948,0.1242774566473988,0.2693409742120344,0.1430745814307458,"early,middle,late",0.7640791476407914,0.0928462709284627,657,26,12,0.0541157225216721,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,B12,72,proposed,final,0.4263610315186246,0.363720088924709,0.6640159045725647,0.3158705701078582,0.1112737920937042,0.3198127925117004,0.3120243531202435,"early,middle,late",0.5996955859969558,0.0882800608828006,657,16,2,0.0355695501057018,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426,
mendeley,primary,cross_machine_dual,D1-M,B9,72,baseline,b9,0.363323782234957,0.3010818088282012,0.6196660482374768,0.1427343078245915,0.1408450704225352,0.1640316205533596,0.1263318112633181,"early,middle,late",0.7625570776255708,0.1111111111111111,657,17,13,0.0435908331423215,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,72,baseline,b10,0.4595988538681948,0.442372294722303,0.6579898770788142,0.2457399103139013,0.4233870967741935,0.2991266375545851,0.2085235920852359,"early,middle,late",0.5646879756468798,0.2267884322678843,657,28,19,0.0638751745664943,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B11,82,baseline,raw,0.5346704871060172,0.4943289990174526,0.7916331456154465,0.4843646041250831,0.2069892473118279,0.4302600472813239,0.5540334855403348,"early,middle,late",0.3378995433789954,0.1080669710806697,657,22,16,0.0446646793922687,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,B12,82,proposed,final,0.5787965616045845,0.5345960123040171,0.8456140350877193,0.5617701290719115,0.1964038727524204,0.4711340206185567,0.69558599695586,"early,middle,late",0.2207001522070015,0.0837138508371385,657,11,1,0.0298650529860993,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278,
mendeley,primary,cross_machine_dual,D1-M,B9,82,baseline,b9,0.3782234957020057,0.3269872398295819,0.6230333543108874,0.1463414634146341,0.2115869017632241,0.18,0.1232876712328767,"early,middle,late",0.6986301369863014,0.1780821917808219,657,29,13,0.0519275431393238,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,82,baseline,b10,0.3982808022922636,0.3492546877686611,0.6291139240506329,0.1996527777777778,0.2189973614775725,0.2323232323232323,0.1750380517503805,"early,middle,late",0.6971080669710806,0.1278538812785388,657,22,15,0.0491359431110889,,,,,,,
