dataset,channel_set,group,task,Method,seed,kind,variant,Acc,Macro_F1,E_F1,M_F1,L_F1,M_Pre,M_Rec,stages_present,M_to_E,M_to_L,n_middle_true,Rev,Jump,Smooth,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth,oracle_wear_reference
mendeley,primary,cross_machine_dual,D1-M,B11,42,baseline,raw,0.3146131805157593,0.2173642103447588,0.5629213483146067,0.082437275985663,0.0067340067340067,0.1002178649237472,0.0700152207001522,"early,middle,late",0.9223744292237442,0.0076103500761035,657,16,4,0.0347935321138213,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,B12,42,proposed,final,0.3432664756446991,0.2535566045936637,0.5989240884638374,0.1583673469387755,0.0033783783783783,0.1707746478873239,0.1476407914764079,"early,middle,late",0.8462709284627092,0.0060882800608828,657,12,2,0.0225412037737451,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477,
mendeley,primary,cross_machine_dual,D1-M,B7,42,baseline,b7,0.3627507163323782,0.2930488007724985,0.5908018867924528,0.1556145004420866,0.1327300150829562,0.1856540084388185,0.1339421613394216,"early,middle,late",0.817351598173516,0.0487062404870624,657,19,12,0.0458683671787532,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B8,42,baseline,b8,0.3008595988538682,0.1877795676814969,0.4918998527245949,0.0189798339264531,0.0524590163934426,0.043010752688172,0.0121765601217656,"early,middle,late",0.9771689497716894,0.0106544901065449,657,19,3,0.0355035293521186,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B9,42,baseline,b9,0.3363896848137536,0.264969363537156,0.5712656784492588,0.0513796384395813,0.1722627737226277,0.0685279187817258,0.0410958904109589,"early,middle,late",0.8995433789954338,0.0593607305936073,657,13,11,0.0362701649155016,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,42,baseline,b10,0.3060171919770774,0.2171089848912057,0.5664217071791973,0.0273972602739726,0.0575079872204472,0.0342465753424657,0.0228310502283105,"early,middle,late",0.9452054794520548,0.0319634703196347,657,11,6,0.033879526775134,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B1,42,baseline,b1,0.8785100286532951,0.8804051113275624,0.9002961500493584,0.8343848580441641,0.9065343258891646,0.8657937806873978,0.8051750380517504,"early,middle,late",0.0821917808219178,0.1126331811263318,657,0,0,0.0068886337543053,,,,,,,True
mendeley,primary,cross_machine_dual,D1-M,B2,42,baseline,b2,0.3558739255014326,0.3315089759082963,0.3383838383838384,0.4828850855745721,0.1732580037664783,0.4034729315628192,0.6012176560121766,"early,middle,late",0.15220700152207,0.2465753424657534,657,147,47,0.3168771526980482,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B3,42,baseline,b3,0.4424068767908309,0.390862391902573,0.628909551986475,0.4783715012722646,0.0653061224489796,0.4109289617486338,0.5722983257229832,"early,middle,late",0.3592085235920852,0.0684931506849315,657,97,52,0.0921507845388442,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B4,42,baseline,b4,0.3518624641833811,0.2660468519889259,0.6024242424242424,0.1824051654560129,0.0133111480865224,0.1941580756013745,0.1719939117199391,"early,middle,late",0.8127853881278538,0.015220700152207,657,43,12,0.0953475962409058,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B5,42,baseline,b5,0.4424068767908309,0.3805586219598248,0.652931854199683,0.4574049803407601,0.0313390313390313,0.4016110471806674,0.5312024353120244,"early,middle,late",0.3972602739726027,0.0715372907153729,657,96,50,0.0854535017221584,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B6,42,baseline,b6,0.3530085959885387,0.3139964985877343,0.3757575757575757,0.4959443800695249,0.0702875399361022,0.4003741814780168,0.6514459665144596,"early,middle,late",0.2054794520547945,0.1430745814307458,657,85,31,0.1684569772073951,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B11,52,baseline,raw,0.3759312320916905,0.2787939473688809,0.5279241306638567,0.308457711442786,0.0,0.4454022988505747,0.2359208523592085,"early,middle,late",0.7640791476407914,0.0,657,1,0,0.0085577993898574,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,B12,52,proposed,final,0.3856733524355301,0.2897634289126718,0.532695374800638,0.3365949119373776,0.0,0.4712328767123288,0.2617960426179604,"early,middle,late",0.7382039573820396,0.0,657,0,0,0.0060785311267285,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455,
mendeley,primary,cross_machine_dual,D1-M,B7,52,baseline,b7,0.3793696275071633,0.3035410571544955,0.5149023638232272,0.0360610263522884,0.3596597812879708,0.203125,0.0197869101978691,"early,middle,late",0.8462709284627092,0.1339421613394216,657,17,15,0.0331138041149972,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B8,52,baseline,b8,0.3793696275071633,0.2829974207858535,0.546644844517185,0.3023474178403756,0.0,0.3946078431372549,0.2450532724505327,"early,middle,late",0.7473363774733638,0.0076103500761035,657,17,0,0.0322468729906776,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B9,52,baseline,b9,0.3799426934097421,0.3134881248977217,0.547840349917988,0.18860103626943,0.2040229885057471,0.2954545454545454,0.1385083713850837,"early,middle,late",0.8036529680365296,0.0578386605783866,657,23,12,0.0582275865535441,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B10,52,baseline,b10,0.3736389684813753,0.2761707272748282,0.526813880126183,0.3016983016983017,0.0,0.438953488372093,0.2298325722983257,"early,middle,late",0.7701674277016742,0.0,657,1,0,0.007583116344791,,,,,,,
mendeley,primary,cross_machine_dual,D1-M,B1,52,baseline,b1,0.8744985673352436,0.8764716558234439,0.9002961500493584,0.8276409849086577,0.9014778325123152,0.8654485049833887,0.7929984779299848,"early,middle,late",0.0821917808219178,0.1248097412480974,657,0,0,0.0068886337543053,,,,,,,True
mendeley,primary,cross_machine_dual,D1-M,B2,52,baseline,b2,0.4212034383954154,0.4170752434460545,0.4271356783919598,0.4918478260869565,0.3322422258592471,0.4441717791411043,0.5509893455098934,"early,middle,late",0.1385083713850837,0.3105022831050228,657,193,62,0.4167623421354764,,,,,,,False
mendeley,primary,cross_machine_dual,D1-M,B3,52,baseline,b3,0.4372492836676218,0.3948716254956955,0.6526315789473685,0.4059087989723828,0.1260744985673352,0.3511111111111111,0.4809741248097412,"early,middle,late",0.4185692541856925,0.1004566210045662,657,97,7,0.0972445464982778,,,,,,,False
