dataset,channel_set,group,task,Method,Acc_mean,Acc_std_seed,Acc_n_seeds,Macro_F1_mean,Macro_F1_std_seed,Macro_F1_n_seeds,E_F1_mean,E_F1_std_seed,E_F1_n_seeds,M_F1_mean,M_F1_std_seed,M_F1_n_seeds,L_F1_mean,L_F1_std_seed,L_F1_n_seeds,M_Pre_mean,M_Pre_std_seed,M_Pre_n_seeds,M_Rec_mean,M_Rec_std_seed,M_Rec_n_seeds,M_to_E_mean,M_to_E_std_seed,M_to_E_n_seeds,M_to_L_mean,M_to_L_std_seed,M_to_L_n_seeds,Rev_mean,Rev_std_seed,Rev_n_seeds,Jump_mean,Jump_std_seed,Jump_n_seeds,Smooth_mean,Smooth_std_seed,Smooth_n_seeds,q_MAE_mean,q_MAE_std_seed,q_MAE_n_seeds,q_RMSE_mean,q_RMSE_std_seed,q_RMSE_n_seeds,q_R2_mean,q_R2_std_seed,q_R2_n_seeds,Spearman_mean,Spearman_std_seed,Spearman_n_seeds,Pearson_mean,Pearson_std_seed,Pearson_n_seeds,q_Smooth_mean,q_Smooth_std_seed,q_Smooth_n_seeds,deterministic
mendeley,primary,cross_machine_dual,D1-M,B1,0.8788538681948423,0.0,5,0.880796343265834,0.0,5,0.9024828409136889,0.0,5,0.8344589219461062,0.0,5,0.9054472669377066,0.0,5,0.8681108411035104,0.0,5,0.8033485540334855,0.0,5,0.08584474885844748,0.0,5,0.11080669710806697,0.0,5,0.0,0.0,5,0.0,0.0,5,0.006888633754305301,0.0,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,True
mendeley,primary,cross_machine_dual,D1-M,B10,0.39415472779369626,0.05919579378738163,5,0.3354306828318488,0.08995476644587863,5,0.5965005699946577,0.051569387290822125,5,0.17588400887952732,0.10995063537565894,5,0.2339074696213613,0.21066944456332667,5,0.234713770502259,0.1503202026511605,5,0.14246575342465753,0.08912626506016585,5,0.7555555555555555,0.13969336042032512,5,0.10197869101978689,0.0894467078360988,5,17.8,11.562871615649808,5,8.0,8.689073598491383,5,0.03968563899564304,0.020957978140827,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B11,0.40607449856733524,0.08463603311432556,5,0.3413682489941162,0.11470007573005776,5,0.6116930186893482,0.10570314243735883,5,0.2515455928883603,0.1527695778081427,5,0.16086613540463995,0.19131704803633193,5,0.3018939779861785,0.14161797656181876,5,0.23165905631659056,0.18957686023420262,5,0.6621004566210045,0.23089857314649373,5,0.10624048706240488,0.1304255037387683,5,20.6,13.594116374373144,5,11.2,9.549869109050658,5,0.04394484953908492,0.025358036613156033,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False
mendeley,primary,cross_machine_dual,D1-M,B12,0.43954154727793693,0.08988278816462159,5,0.381593000669353,0.1180418557424851,5,0.6533584818012855,0.1176564572050477,5,0.3425851077402168,0.1438166584287052,5,0.14883541246655663,0.17874679623176074,5,0.3589750871000128,0.12464269665006401,5,0.3476407914764079,0.20640077569339393,5,0.5646879756468797,0.25015025057591767,5,0.08767123287671233,0.10505922207182895,5,13.6,10.4546640309481,5,1.6,1.140175425099138,5,0.03126983652357438,0.020577918861516477,5,0.16828353368988452,0.004792747252417255,5,0.22324649843847694,0.0037169286424365328,5,0.00881940277177214,0.03290136419400501,5,0.731931831519832,0.1563349254809397,5,0.4760578895902786,0.1864353834064355,5,0.00528042463566482,0.003815606451473134,5,False
mendeley,primary,cross_machine_dual,D1-M,B2,0.4020630372492836,0.03553840368486609,5,0.39413317509277646,0.04402442753382126,5,0.40896451296301156,0.059148781699756334,5,0.48752888380436604,0.015292606397826258,5,0.2859061285109517,0.06700890621892246,5,0.43376956803952105,0.019339542871157633,5,0.5582952815829528,0.03350974633608994,5,0.13942161339421613,0.016624739629726815,5,0.30228310502283107,0.03245972666682819,5,176.2,17.28293956478469,5,53.8,5.403702434442518,5,0.3811710677382319,0.037887485648679664,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B3,0.42613180515759314,0.02210801800392574,5,0.3713256771182959,0.029791468201425975,5,0.6436590365759356,0.031314243029978345,5,0.39921979974973565,0.05561607128024053,5,0.07109819502921652,0.031961181053269096,5,0.35490593718747326,0.034509998695397774,5,0.45996955859969557,0.08968854876220539,5,0.4541856925418569,0.09458657928796899,5,0.08584474885844748,0.01763894624757155,5,89.4,7.436396977031281,5,18.6,19.50128200913981,5,0.09267049368541899,0.003387053646634854,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B4,0.35472779369627505,0.03999367771318115,5,0.27901876373764317,0.06179983912525408,5,0.577866671778486,0.027716401803031726,5,0.19051931865624241,0.07470774128972629,5,0.06867030077820117,0.10821335235906758,5,0.21457474388604938,0.06602786092403529,5,0.1765601217656012,0.0833811015208666,5,0.7716894977168949,0.08830629956992565,5,0.0517503805175038,0.024471743060598974,5,53.4,18.474306482247176,5,12.0,5.338539126015656,5,0.11959605317278428,0.035091994415088035,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B5,0.44916905444126076,0.018132804916308146,5,0.3873997575725532,0.027554623805892176,5,0.6844562203360074,0.023839521966369695,5,0.432172923435885,0.036007266924846126,5,0.04557012894576702,0.056178350123807876,5,0.3759005723956307,0.032972215401214686,5,0.5089802130898021,0.04552999662890536,5,0.4006088280060883,0.042704847285845185,5,0.09041095890410958,0.015544500982267015,5,85.8,9.41806774237688,5,14.0,20.530465167647808,5,0.08736165327210098,0.0046191041069754335,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B6,0.39724928366762174,0.056937781709094484,5,0.37073809340833197,0.06335165633849812,5,0.5376034703479793,0.09682250037944978,5,0.47736312110531065,0.06235416637686326,5,0.09724768877170598,0.08596267075897106,5,0.3982536954553223,0.04454662699259178,5,0.5987823439878234,0.09949845150002087,5,0.22831050228310498,0.06772784006480057,5,0.17290715372907153,0.0361887950654142,5,83.8,10.084641788382967,5,52.6,17.30028901492689,5,0.1872156519239196,0.016682099336230303,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
mendeley,primary,cross_machine_dual,D1-M,B7,0.437134670487106,0.06803501532774178,5,0.38201666792007793,0.086845360884379,5,0.642998516631876,0.08693638290669767,5,0.22481877824382845,0.13922326992666137,5,0.27823270888452933,0.20154918915350967,5,0.28108868797259506,0.08093390112301312,5,0.21248097412480976,0.15863372670590087,5,0.6517503805175038,0.1663149684718543,5,0.13576864535768646,0.09905390295289727,5,17.6,5.9833101206606365,5,17.0,7.035623639735144,5,0.04400269410069546,0.012635164836360652,5,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,False
