dataset,task,group,Method,seed,q_MAE,q_RMSE,q_R2,Spearman,Pearson,q_Smooth
mendeley,D1-M,cross_machine_dual,B11,42,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477
mendeley,D1-M,cross_machine_dual,B12,42,0.1752564320193948,0.2279278008472295,-0.0329559010924822,0.903421701941462,0.8090507050677976,0.0024892919783477
mendeley,D1-M,cross_machine_dual,B11,52,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455
mendeley,D1-M,cross_machine_dual,B12,52,0.1651290678211783,0.2176336954658345,0.0582417062043618,0.7393304619448686,0.4063124445930754,0.0016818313798455
mendeley,D1-M,cross_machine_dual,B11,62,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103
mendeley,D1-M,cross_machine_dual,B12,62,0.1710856001372838,0.2243551646838103,-0.0008277153726041,0.4779224967492687,0.3902905783440602,0.0113760445408103
mendeley,D1-M,cross_machine_dual,B11,72,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426
mendeley,D1-M,cross_machine_dual,B12,72,0.1663041973808247,0.2237052957202852,0.0049618984667036,0.7476220825492224,0.3778746323777383,0.0058117199060426
mendeley,D1-M,cross_machine_dual,B11,82,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278
mendeley,D1-M,cross_machine_dual,B12,82,0.1636423710907409,0.2226105354752252,0.0146770256528816,0.7913624144143383,0.3967610875687218,0.005043235373278
mendeley,D2-M,cross_machine_dual,B11,42,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055
mendeley,D2-M,cross_machine_dual,B12,42,0.0881670416340194,0.1332843773566909,0.5123891212975931,0.8710080869466097,0.7573179432246901,0.0033016442938055
mendeley,D2-M,cross_machine_dual,B11,52,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289
mendeley,D2-M,cross_machine_dual,B12,52,0.1492001097181061,0.1988854227628224,-0.0857273971620955,0.4737827772525759,0.4655087269553989,0.00168320314289
mendeley,D2-M,cross_machine_dual,B11,62,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885
mendeley,D2-M,cross_machine_dual,B12,62,0.0875433672202197,0.1342170787295212,0.5055408074115118,0.8366727144815975,0.7828026522217212,0.0069215673806885
mendeley,D2-M,cross_machine_dual,B11,72,0.1604399971546524,0.2011215037046746,-0.110278438806481,-0.6998082665157634,-0.6041504726328326,0.0009233990502496
mendeley,D2-M,cross_machine_dual,B12,72,0.1604399971546524,0.2011215037046746,-0.110278438806481,-0.6998082665157634,-0.6041504726328326,0.0009233990502496
mendeley,D2-M,cross_machine_dual,B11,82,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528
mendeley,D2-M,cross_machine_dual,B12,82,0.1204284062381727,0.1624325257057093,0.2757960555761976,0.559044920738501,0.6262705069310089,0.0012673421761528
mendeley,D3-M,cross_machine_dual,B11,42,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088
mendeley,D3-M,cross_machine_dual,B12,42,0.1432321272557858,0.1952845986587181,0.0131401034089022,0.4608148745584148,0.3629372565152396,0.006220956818088
mendeley,D3-M,cross_machine_dual,B11,52,0.2240525180015934,0.2747451769545879,-0.953348207326976,0.5372823880018417,0.5122559705123225,0.0109360984229779
mendeley,D3-M,cross_machine_dual,B12,52,0.2240525180015934,0.2747451769545879,-0.953348207326976,0.5372823880018417,0.5122559705123225,0.0109360984229779
mendeley,D3-M,cross_machine_dual,B11,62,0.1514318244622414,0.203855756591609,-0.0753887115387617,0.6484736708028228,0.5506226558689072,0.0163099597116093
mendeley,D3-M,cross_machine_dual,B12,62,0.1514318244622414,0.203855756591609,-0.0753887115387617,0.6484736708028228,0.5506226558689072,0.0163099597116093
mendeley,D3-M,cross_machine_dual,B11,72,0.2323656513352183,0.2948860668118232,-1.2502357466155414,0.4876523071926882,0.0746807667051854,0.0196972160385205
mendeley,D3-M,cross_machine_dual,B12,72,0.2323656513352183,0.2948860668118232,-1.2502357466155414,0.4876523071926882,0.0746807667051854,0.0196972160385205
mendeley,D3-M,cross_machine_dual,B11,82,0.1964005389954395,0.2451117521472604,-0.5547042388423558,0.6412308241197471,0.6848090712840191,0.0156158686011702
mendeley,D3-M,cross_machine_dual,B12,82,0.1964005389954395,0.2451117521472604,-0.5547042388423558,0.6412308241197471,0.6848090712840191,0.0156158686011702
