task,seed,method,true_stage,predicted_stage,count,proportion_of_all_runs,n_test
D2-M,42,B11,early,early,692,0.2515448927662668,2751
D2-M,42,B11,early,middle,122,0.044347509996364956,2751
D2-M,42,B11,early,late,0,0.0,2751
D2-M,42,B11,middle,early,0,0.0,2751
D2-M,42,B11,middle,middle,1121,0.40748818611414034,2751
D2-M,42,B11,middle,late,11,0.003998545983278807,2751
D2-M,42,B11,late,early,2,0.0007270083605961468,2751
D2-M,42,B11,late,middle,538,0.1955652490003635,2751
D2-M,42,B11,late,late,265,0.09632860777898945,2751
D2-M,42,B12,early,early,647,0.2351872046528535,2751
D2-M,42,B12,early,middle,167,0.060705198109778265,2751
D2-M,42,B12,early,late,0,0.0,2751
D2-M,42,B12,middle,early,0,0.0,2751
D2-M,42,B12,middle,middle,1132,0.4114867320974191,2751
D2-M,42,B12,middle,late,0,0.0,2751
D2-M,42,B12,late,early,0,0.0,2751
D2-M,42,B12,late,middle,805,0.2926208651399491,2751
D2-M,42,B12,late,late,0,0.0,2751
D2-M,52,B11,early,early,814,0.2958924027626318,2751
D2-M,52,B11,early,middle,0,0.0,2751
D2-M,52,B11,early,late,0,0.0,2751
D2-M,52,B11,middle,early,672,0.24427480916030533,2751
D2-M,52,B11,middle,middle,428,0.15557978916757542,2751
D2-M,52,B11,middle,late,32,0.011632133769538349,2751
D2-M,52,B11,late,early,82,0.029807342784442022,2751
D2-M,52,B11,late,middle,173,0.0628862231915667,2751
D2-M,52,B11,late,late,550,0.1999272991639404,2751
D2-M,52,B12,early,early,54,0.019629225736095966,2751
D2-M,52,B12,early,middle,760,0.2762631770265358,2751
D2-M,52,B12,early,late,0,0.0,2751
D2-M,52,B12,middle,early,0,0.0,2751
D2-M,52,B12,middle,middle,1132,0.4114867320974191,2751
D2-M,52,B12,middle,late,0,0.0,2751
D2-M,52,B12,late,early,0,0.0,2751
D2-M,52,B12,late,middle,805,0.2926208651399491,2751
D2-M,52,B12,late,late,0,0.0,2751
D2-M,62,B11,early,early,708,0.257360959651036,2751
D2-M,62,B11,early,middle,106,0.03853144311159579,2751
D2-M,62,B11,early,late,0,0.0,2751
D2-M,62,B11,middle,early,2,0.0007270083605961468,2751
D2-M,62,B11,middle,middle,1115,0.40530716103235187,2751
D2-M,62,B11,middle,late,15,0.0054525627044711015,2751
D2-M,62,B11,late,early,30,0.010905125408942203,2751
D2-M,62,B11,late,middle,337,0.12250090876045075,2751
D2-M,62,B11,late,late,438,0.15921483097055616,2751
D2-M,62,B12,early,early,676,0.24572882588149764,2751
D2-M,62,B12,early,middle,138,0.05016357688113413,2751
D2-M,62,B12,early,late,0,0.0,2751
D2-M,62,B12,middle,early,0,0.0,2751
D2-M,62,B12,middle,middle,1132,0.4114867320974191,2751
D2-M,62,B12,middle,late,0,0.0,2751
D2-M,62,B12,late,early,0,0.0,2751
D2-M,62,B12,late,middle,708,0.257360959651036,2751
D2-M,62,B12,late,late,97,0.03525990548891312,2751
D2-M,72,B11,early,early,805,0.2926208651399491,2751
D2-M,72,B11,early,middle,9,0.003271537622682661,2751
D2-M,72,B11,early,late,0,0.0,2751
D2-M,72,B11,middle,early,169,0.06143220647037441,2751
D2-M,72,B11,middle,middle,390,0.14176663031624864,2751
D2-M,72,B11,middle,late,573,0.20828789531079608,2751
D2-M,72,B11,late,early,140,0.05089058524173028,2751
D2-M,72,B11,late,middle,18,0.006543075245365322,2751
D2-M,72,B11,late,late,647,0.2351872046528535,2751
D2-M,72,B12,early,early,621,0.2257360959651036,2751
D2-M,72,B12,early,middle,193,0.07015630679752817,2751
D2-M,72,B12,early,late,0,0.0,2751
D2-M,72,B12,middle,early,0,0.0,2751
D2-M,72,B12,middle,middle,1132,0.4114867320974191,2751
D2-M,72,B12,middle,late,0,0.0,2751
D2-M,72,B12,late,early,0,0.0,2751
D2-M,72,B12,late,middle,805,0.2926208651399491,2751
D2-M,72,B12,late,late,0,0.0,2751
D2-M,82,B11,early,early,564,0.2050163576881134,2751
D2-M,82,B11,early,middle,88,0.03198836786623046,2751
D2-M,82,B11,early,late,162,0.05888767720828789,2751
D2-M,82,B11,middle,early,0,0.0,2751
D2-M,82,B11,middle,middle,0,0.0,2751
D2-M,82,B11,middle,late,1132,0.4114867320974191,2751
D2-M,82,B11,late,early,0,0.0,2751
D2-M,82,B11,late,middle,0,0.0,2751
D2-M,82,B11,late,late,805,0.2926208651399491,2751
D2-M,82,B12,early,early,17,0.0061795710650672485,2751
D2-M,82,B12,early,middle,797,0.2897128316975645,2751
D2-M,82,B12,early,late,0,0.0,2751
D2-M,82,B12,middle,early,0,0.0,2751
D2-M,82,B12,middle,middle,1132,0.4114867320974191,2751
D2-M,82,B12,middle,late,0,0.0,2751
D2-M,82,B12,late,early,0,0.0,2751
D2-M,82,B12,late,middle,805,0.2926208651399491,2751
D2-M,82,B12,late,late,0,0.0,2751
