dataset_id,task_id,protocol_id,method_id,method_name,configuration_id,seed,aggregation_level,uncertainty_type,n_test,source_path,source_sha256,status,notes,Acc,Acc_ci_high,Acc_ci_low,Acc_std,Jump,Jump_std,M-F1,M-Rec,M_F1,M_F1_ci_high,M_F1_ci_low,M_F1_std,M_Rec,M_Rec_ci_high,M_Rec_ci_low,M_Rec_std,M_Recall,M_to_E,M_to_L,Macro-F1,MacroF1,MacroF1_ci_high,MacroF1_ci_low,MacroF1_std,M→E,M→L,Rev,Smooth,Smooth_std
PHM2010,D1,PHM_D1_COMMON_304,rf,RF,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.9769736842105263,0.993421052631579,0.9506578947368421,,,,,,0.9723320158102767,0.9923664122137404,0.9407106250418704,,0.9534883720930233,0.9855089882943144,0.9090909090909091,,,,,,0.9773279380019092,0.9936086452226967,0.9451518803779593,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,rf,RF,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.03875968992248032,0.007751937984496064,,,,,,,,5,0.11049504950495051,
PHM2010,D1,PHM_D1_COMMON_304,tcn_gru,TCN-GRU,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.868421052631579,0.9671052631578947,0.7302631578947368,,,,,,0.8260869565217391,0.9586833465413789,0.6086956521739131,,0.7364341085271318,0.9696969696969697,0.46357212082054594,,,,,,0.8745597385825539,0.9668215742727172,0.7373940992626998,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,tcn_gru,TCN-GRU,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.2635658914728662,0.0,,,,,,,,0,0.02195115511551155,
PHM2010,D1,PHM_D1_COMMON_304,multitask_tcn_gru,Multi-task TCN-GRU,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.9901315789473685,1.0,0.9671052631578947,,,,,,0.9882352941176471,1.0,0.9589015443024985,,0.9767441860465116,1.0,0.9210478985232866,,,,,,0.9902304781561747,1.0,0.9655697414013222,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,multitask_tcn_gru,Multi-task TCN-GRU,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.02325581395348819,0.0,,,,,,,,0,0.023590099009900993,
PHM2010,D1,PHM_D1_COMMON_304,dc_psr,DC-PSR,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.9868421052631579,1.0,0.9638157894736842,,,,,,0.984375,1.0,0.9539742072230787,,0.9767441860465116,1.0,0.9210478985232866,,,,,,0.9871020928241414,1.0,0.9614595332226533,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,dc_psr,DC-PSR,,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,0,,,,,,,,,,,,,0.02325581395348819,0.0,,,,,,,,0,0.018762706270627056,
PHM2010,D1,PHM_D1_COMMON_304,htt_net,HTT-Net (adapted),,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.7763157894736842,0.9046052631578947,0.6084703947368421,,,,,,0.6458333333333334,0.8524673379379211,0.35555555555555557,,0.4806201550387597,0.7525800908990133,0.21872996794871796,,,,,,0.7793803418803419,0.8989993099979691,0.6131803247529054,,,,,,
PHM2010,D1,PHM_D1_COMMON_304,htt_net,HTT-Net (adapted),,,304_run_point,point_estimate,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,,,,,3,,,,,,,,,,,,,0.1085271317829449,0.4108527131782914,,,,,,,,4,0.0649591132819632,
PHM2010,D1,PHM_D1_COMMON_304,multi_source_attention,Multi-source Attention,,,304_run_point,moving_block_bootstrap_95CI,304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,28388ba9014dcc23d361752dfee3b4ed3b7f21c968b8ce390911e035ff7b622e,AUTHORITATIVE,,0.8125,0.8980263157894737,0.7038651315789474,,,,,,0.7543859649122807,0.8692003805741706,0.6016832172195071,,0.6666666666666666,0.8333333333333334,0.4845360824742268,,,,,,0.8195212874954683,0.8955157857123801,0.7005943743830568,,,,,,
