Task,Method,metric,absolute_value,normalized_score,direction
D1,RF,Acc,0.9769736842105264,0.9384615384615393,high_is_good
D1,TCN-GRU,Acc,0.868421052631579,0.4307692307692311,high_is_good
D1,Multi-task TCN-GRU,Acc,0.9901315789473684,1.0,high_is_good
D1,DC-PSR,Acc,0.986842105263158,0.9846153846153852,high_is_good
D1,HTT-Net (adapted),Acc,0.7763157894736842,0.0,high_is_good
D1,Multi-source Attention,Acc,0.8125,0.16923076923076938,high_is_good
D1,MTF-AViTK,Acc,0.9703947368421052,0.9076923076923077,high_is_good
D1,Dynamic GIN + TGP,Acc,0.8026315789473685,0.12307692307692347,high_is_good
D1,DP2Net-adapted,Acc,0.9046052631578948,0.6000000000000005,high_is_good
D1,RF,M_F1,0.9723320158102768,0.9535537755947953,high_is_good
D1,TCN-GRU,M_F1,0.8260869565217391,0.5264386418100897,high_is_good
D1,Multi-task TCN-GRU,M_F1,0.9882352941176472,1.0,high_is_good
D1,DC-PSR,M_F1,0.984375,0.9887258410880454,high_is_good
D1,HTT-Net (adapted),M_F1,0.6458333333333334,0.0,high_is_good
D1,Multi-source Attention,M_F1,0.7543859649122807,0.3170327393286364,high_is_good
D1,MTF-AViTK,M_F1,0.9657794676806084,0.9344167703198867,high_is_good
D1,Dynamic GIN + TGP,M_F1,0.7560975609756098,0.32203153098102183,high_is_good
D1,DP2Net-adapted,M_F1,0.896797153024911,0.7329508835659532,high_is_good
D1,RF,Smooth,0.11049504950495051,0.70055198792196,low_is_good
D1,TCN-GRU,Smooth,0.02195115511551155,0.9895917335745552,low_is_good
D1,Multi-task TCN-GRU,Smooth,0.023590099009900993,0.9842416196040802,low_is_good
D1,DC-PSR,Smooth,0.018762706270627056,1.0,low_is_good
D1,HTT-Net (adapted),Smooth,0.0649591132819632,0.8491979845172364,low_is_good
D1,Multi-source Attention,Smooth,0.32510083353933256,0.0,low_is_good
D1,MTF-AViTK,Smooth,0.19011765882472606,0.44063458870793953,low_is_good
D1,Dynamic GIN + TGP,Smooth,0.08542534166666667,0.7823887088740793,low_is_good
D1,DP2Net-adapted,Smooth,0.05341049988913365,0.8868968942017617,low_is_good
D2,RF,Acc,0.8980263157894737,0.9507110817483223,high_is_good
D2,TCN-GRU,Acc,0.569078947368421,0.4030564345074585,high_is_good
D2,Multi-task TCN-GRU,Acc,0.7993421052631579,0.786414687576063,high_is_good
D2,DC-PSR,Acc,0.7960526315789473,0.7809381411036544,high_is_good
D2,HTT-Net (adapted),Acc,0.9276315789473685,1.0,high_is_good
D2,Multi-source Attention,Acc,0.326984126984127,0.0,high_is_good
D2,MTF-AViTK,Acc,0.7936507936507936,0.7769393928857052,high_is_good
D2,Dynamic GIN + TGP,Acc,0.9111111111111111,0.9724955666052365,high_is_good
D2,DP2Net-adapted,Acc,0.873015873015873,0.9090719426961995,high_is_good
D2,RF,M_F1,0.8724279835390947,0.9442216455663023,high_is_good
D2,TCN-GRU,M_F1,0.015037593984962405,0.0,high_is_good
D2,Multi-task TCN-GRU,M_F1,0.7136150234741784,0.769325079991627,high_is_good
D2,DC-PSR,M_F1,0.7075471698113207,0.7626427112125945,high_is_good
D2,HTT-Net (adapted),M_F1,0.9230769230769231,1.0,high_is_good
D2,Multi-source Attention,M_F1,0.0425531914893617,0.03030220897140534,high_is_good
D2,MTF-AViTK,M_F1,0.723404255319149,0.7801057053801328,high_is_good
D2,Dynamic GIN + TGP,M_F1,0.8833333333333333,0.9562314225053078,high_is_good
D2,DP2Net-adapted,M_F1,0.8214285714285714,0.8880573248407643,high_is_good
