Task,Method,metric,value,rank,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
D1,RF,Acc,0.9769736842105263,3,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,TCN-GRU,Acc,0.868421052631579,6,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,Multi-task TCN-GRU,Acc,0.9901315789473685,1,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,DC-PSR,Acc,0.9868421052631579,2,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,HTT-Net (adapted),Acc,0.7763157894736842,9,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,Multi-source Attention,Acc,0.8125,7,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,MTF-AViTK,Acc,0.9703947368421053,4,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,Dynamic GIN + TGP,Acc,0.8026315789473685,8,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,DP2Net-adapted,Acc,0.9046052631578947,5,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,RF,M_F1,0.9723320158102767,3,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,TCN-GRU,M_F1,0.8260869565217391,6,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
D1,Multi-task TCN-GRU,M_F1,0.9882352941176471,1,PHM2010,D1,PHM_D1_D2_D3_COMMON_304,derived_method_task_metric,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/transfer_tasks_long.csv,DERIVED
