dataset,task_scope,method,Acc,M_F1,Smooth,Jump,source_path,aggregation,n_or_task_count,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,status
PHM2010,D1,B11,0.9901315789473685,0.9882352941176471,0.023590099009900993,0,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,304-run common-universe point estimate,304,PHM2010,D1,CROSS_DATASET_COMPARATIVE,304-run common-universe point estimate,source_specific,304,see_source_path,DERIVED
PHM2010,D1,B12,0.9868421052631579,0.984375,0.018762706270627056,0,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,304-run common-universe point estimate,304,PHM2010,D1,CROSS_DATASET_COMPARATIVE,304-run common-universe point estimate,source_specific,304,see_source_path,DERIVED
NASA_MILLING,original_N1-N4,B11,0.5995098039215686,0.256578947368421,0.34207155049676224,2.5,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across four original tasks,4,NASA_MILLING,original_N1-N4,CROSS_DATASET_COMPARATIVE,mean across four original tasks,source_specific,4,see_source_path,DERIVED
NASA_MILLING,original_N1-N4,B12,0.592156862745098,0.3151515151515152,0.22247188435431953,1.25,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across four original tasks,4,NASA_MILLING,original_N1-N4,CROSS_DATASET_COMPARATIVE,mean across four original tasks,source_specific,4,see_source_path,DERIVED
MILLING_CROSS_MACHINE,D1-M,B11,0.40607449856733524,0.2515455928883603,0.04394484953908492,11.2,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across five seeds,5,MILLING_CROSS_MACHINE,D1-M,CROSS_DATASET_COMPARATIVE,mean across five seeds,source_specific,5,see_source_path,DERIVED
MILLING_CROSS_MACHINE,D1-M,B12,0.43954154727793693,0.3425851077402168,0.03126983652357438,1.6,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across five seeds,5,MILLING_CROSS_MACHINE,D1-M,CROSS_DATASET_COMPARATIVE,mean across five seeds,source_specific,5,see_source_path,DERIVED
MILLING_CROSS_MACHINE,D2-M,B11,0.6791712104689205,0.5192282762638224,0.01648786360332858,0.8,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across five seeds,5,MILLING_CROSS_MACHINE,D2-M,CROSS_DATASET_COMPARATIVE,mean across five seeds,source_specific,5,see_source_path,DERIVED
MILLING_CROSS_MACHINE,D2-M,B12,0.5650308978553253,0.6597102965231149,0.00939339309151678,0.0,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across five seeds,5,MILLING_CROSS_MACHINE,D2-M,CROSS_DATASET_COMPARATIVE,mean across five seeds,source_specific,5,see_source_path,DERIVED
MILLING_CROSS_MACHINE,D3-M,B11,0.47043335161821176,0.1335153460866274,0.06062721799652622,34.8,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across five seeds,5,MILLING_CROSS_MACHINE,D3-M,CROSS_DATASET_COMPARATIVE,mean across five seeds,source_specific,5,see_source_path,DERIVED
MILLING_CROSS_MACHINE,D3-M,B12,0.46176631925397693,0.20330940323086547,0.05143609262984502,6.6,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean across five seeds,5,MILLING_CROSS_MACHINE,D3-M,CROSS_DATASET_COMPARATIVE,mean across five seeds,source_specific,5,see_source_path,DERIVED
MILLING_CROSS_MACHINE,"D1-M,D2-M,D3-M",B11,0.5185596868848225,0.3014297384129367,0.040353310379646574,15.6,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean of three five-seed task means,3,MILLING_CROSS_MACHINE,"D1-M,D2-M,D3-M",CROSS_DATASET_COMPARATIVE,mean of three five-seed task means,source_specific,3,see_source_path,DERIVED
MILLING_CROSS_MACHINE,"D1-M,D2-M,D3-M",B12,0.48877958812907973,0.4018682691647324,0.030699774081645394,2.7333333333333334,paper_data/04_cross_dataset/backbone_vs_dcpsr_absolute.csv,mean of three five-seed task means,3,MILLING_CROSS_MACHINE,"D1-M,D2-M,D3-M",CROSS_DATASET_COMPARATIVE,mean of three five-seed task means,source_specific,3,see_source_path,DERIVED
