dataset,task,Method,M_F1,Smooth
NASA,N1,Multi-task TCN-GRU,0.5263157894736842,0.2535589819862729
NASA,N1,DC-PSR,0.5454545454545455,0.1186597485579648
NASA,N2,Multi-task TCN-GRU,0.0,0.4796876396052539
NASA,N2,DC-PSR,0.1818181818181818,0.2981643310453516
NASA,N3,Multi-task TCN-GRU,0.5,0.1603210191092183
NASA,N3,DC-PSR,0.5333333333333333,0.1513385161325059
NASA,N4,Multi-task TCN-GRU,0.0,0.4747185612863037
NASA,N4,DC-PSR,0.0,0.3217249416814556
MTW-CM,D1-M,Multi-task TCN-GRU,0.2515455928883603,0.0439448495390849
MTW-CM,D1-M,DC-PSR,0.3425851077402168,0.0312698365235743
MTW-CM,D2-M,Multi-task TCN-GRU,0.5192282762638224,0.0164878636033285
MTW-CM,D2-M,DC-PSR,0.6597102965231149,0.0093933930915167
MTW-CM,D3-M,Multi-task TCN-GRU,0.1335153460866274,0.0606272179965262
MTW-CM,D3-M,DC-PSR,0.2033094032308654,0.051436092629845
