run_id,VB_true,VB_smooth,q_true,q_pred,q_pred_norm,true_stage,pred_stage,prob_early,prob_middle,prob_late,max_prob,dominant_prob_stage,relative_life,dataset_id,task_id,protocol_id,aggregation_level,uncertainty_type,n_test,test_universe,source_path,status
12,74.13432456,73.9135510757143,0.0543003305631503,0.30841658,0.0017306665255505,early,early,0.8571933928641817,0.1246946604703047,0.0181119466645134,0.8571933928641817,early,0.0,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
13,75.21507024,75.00618229857143,0.0607357409228696,0.3110891,0.0080838448762336,early,early,0.8552844475598358,0.1263062153499642,0.0184093370891999,0.8552844475598358,early,0.0033003300330033,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
14,76.29581591,76.15816769,0.0675207371477249,0.31120992,0.0083710610648232,early,early,0.8552704646963528,0.1265440276320479,0.0181855076705991,0.8552704646963528,early,0.0066006600660066,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
15,77.37656158,77.37656158285714,0.0746968680474152,0.31091222,0.0076633615172059,early,early,0.8543139878912774,0.1275398156417537,0.0181461964659689,0.8543139878912774,early,0.0099009900990099,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
16,78.45730726,78.45730725714286,0.0810622745661246,0.31094438,0.0077398130370292,early,early,0.8534100883684216,0.1285780927085751,0.0180118189220033,0.8534100883684216,early,0.0132013201320132,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
17,79.53805293,79.53805293,0.0874276810764199,0.31115308,0.0082359396597626,early,early,0.8512030084726768,0.1307294032588705,0.0180675882674526,0.8512030084726768,early,0.0165016501650165,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
18,80.6187986,80.58400660714287,0.0935881687037735,0.31056365,0.0068347325910622,early,early,0.8506145122604142,0.1314792792488678,0.0179062084897179,0.8506145122604142,early,0.0198019801980198,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
19,81.69954428,81.59516828714287,0.0995437374397715,0.3120317,0.0103246161009033,early,early,0.8471873413239422,0.1347495360587651,0.0180631226162926,0.8471873413239422,early,0.0231023102310231,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
20,82.78028995,82.57153797000001,0.1052943872844138,0.31146237,0.0089711912320923,early,early,0.8468530516378745,0.135091511460954,0.0180554369001716,0.8468530516378745,early,0.0264026402640264,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
21,83.61749165,83.51311565571429,0.1108401182377004,0.30944452,0.0041743100357211,early,early,0.8520762230046783,0.1298127923069768,0.0181109846873448,0.8520762230046783,early,0.0297029702970297,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
22,84.45469334,84.41990134571428,0.1161809303080454,0.30778018,0.0002178012514367,early,early,0.8551142214844716,0.1269441882057655,0.0179415903087629,0.8551142214844716,early,0.033003300330033,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
23,85.29189504,85.29189503714285,0.1213168234786207,0.30768856,0.0,early,early,0.8563332989130121,0.1255760383181796,0.0180906627678082,0.8563332989130121,early,0.0363036303630363,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
24,86.12909673,86.12909673142858,0.1262477977578404,0.3082663,0.0013734173216004,early,early,0.856599386888143,0.1251243361928062,0.0182762769180508,0.856599386888143,early,0.0396039603960396,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
25,86.96629843,86.96629842571429,0.13117877203706,0.30879354,0.0026267848375083,early,early,0.8569651177039966,0.1246698935402352,0.018364988754768,0.8569651177039966,early,0.0429042904290429,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
26,87.80350012,87.80350012,0.1361097463162796,0.30929556,0.0038201987672862,early,early,0.8572830246715882,0.1241511284281319,0.0185658468992799,0.8572830246715882,early,0.0462046204620462,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
27,88.64070181,88.64070181428572,0.1410407205954993,0.30984277,0.0051210394439798,early,early,0.8570918998430154,0.1240832744322589,0.0188248257237257,0.8570918998430154,early,0.0495049504950495,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
28,89.47790351,89.47790350857143,0.1459716948747189,0.31028926,0.0061824461319734,early,early,0.8569078014468149,0.1240050827387425,0.0190871158134426,0.8569078014468149,early,0.0528052805280528,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
29,90.3151052,90.31510520285714,0.1509026691539386,0.31039134,0.0064251131451437,early,early,0.8569148693947723,0.123749137187361,0.0193359934168665,0.8569148693947723,early,0.0561056105610561,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
30,91.1523069,91.09346523571428,0.1554870761471252,0.31010622,0.005747319073875,early,early,0.8572474907555031,0.1233735896246931,0.0193789196188038,0.8572474907555031,early,0.0594059405940594,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
31,91.98950859,91.81298360857144,0.1597249158626929,0.31003374,0.0055750178874078,early,early,0.8576387628244226,0.123220016989505,0.0191412201850723,0.8576387628244226,early,0.0627062706270627,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
32,92.82671029,92.47366031857142,0.1636161882838135,0.3103569,0.0063432415548851,early,early,0.8575130451653633,0.1233260380084997,0.019160916825137,0.8575130451653633,early,0.066006600660066,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
33,93.25202035,93.07549536857142,0.1671608934273151,0.3106518,0.0070442848756522,early,early,0.8572026325147336,0.1232419959508027,0.0195553715334637,0.8572026325147336,early,0.0693069306930693,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
34,93.67733042,93.6184887557143,0.1703590312763698,0.3106452,0.0070285951980766,early,early,0.8574164359787517,0.1231248775451358,0.0194586864751125,0.8574164359787517,early,0.0726072607260726,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
35,94.10264048,94.10264048285714,0.1732106018478054,0.31085083,0.0075174237435135,early,early,0.8572513966241427,0.1231522642384562,0.019596339136401,0.8572513966241427,early,0.0759075907590759,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
36,94.52795055,94.52795054857144,0.175715605133208,0.3107693,0.0073236086809766,early,early,0.8573663129881294,0.1230504248457137,0.0195832621651568,0.8573663129881294,early,0.0792079207920792,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
37,94.95326061,94.95326061428572,0.1782206084186106,0.31063253,0.0069984757715791,early,early,0.8575543346243597,0.1228525446026276,0.0195931207720127,0.8575543346243597,early,0.0825082508250825,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
38,95.37857068,95.37857068,0.1807256117040133,0.31032658,0.0062711641269922,early,early,0.8578806378346199,0.1225834704096293,0.0195358917547507,0.8578806378346199,early,0.0858085808580858,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
39,95.80388075,95.8038807457143,0.183230614989416,0.31011748,0.0057740866147086,early,early,0.8580147108405106,0.1224827642624082,0.0195025248960812,0.8580147108405106,early,0.0891089108910891,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
40,96.22919081,96.22919081142858,0.1857356182748186,0.31012213,0.0057851407057279,early,early,0.8579829899195082,0.1225337520415926,0.0194832580378992,0.8579829899195082,early,0.0924092409240924,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
41,96.65450088,96.65450087714284,0.1882406215602211,0.31012973,0.0058032076071786,early,early,0.858001997897288,0.1225577119226623,0.0194402901790496,0.858001997897288,early,0.0957095709570957,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
42,97.07981094,97.07981094285712,0.1907456248456237,0.30962062,0.0045929391601263,early,early,0.8583912745618231,0.1222382829671026,0.0193704424700744,0.8583912745618231,early,0.099009900990099,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
43,97.50512101,97.50512100714286,0.1932506281226124,0.30968666,0.0047499310248379,early,early,0.858377668300433,0.1221925657313027,0.0194297659672642,0.858377668300433,early,0.1023102310231023,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
44,97.93043107,97.93043107285716,0.195755631408015,0.30943763,0.0041579309632217,early,early,0.8585971619023091,0.1219907003014055,0.0194121377952854,0.8585971619023091,early,0.1056105610561056,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
45,98.35574114,98.35574113714286,0.1982606346850036,0.309207,0.0036096718209073,early,early,0.8589178003765094,0.1217747429068615,0.019307456715629,0.8589178003765094,early,0.1089108910891089,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
46,98.7810512,98.78105120285714,0.2007656379704062,0.3092773,0.0037767906593268,early,early,0.8588341583876061,0.1218582974150208,0.019307544196373,0.8588341583876061,early,0.1122112211221122,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
47,99.20636127,99.20636127285714,0.2032706412810509,0.3092726,0.0037656177071139,early,early,0.8588206534019234,0.121872018164923,0.0193073284321537,0.8588206534019234,early,0.1155115511551155,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
48,99.63167133,99.63167133428573,0.2057756445412115,0.30921546,0.0036297831348906,early,early,0.8588042522635273,0.1218750190517959,0.0193207286836768,0.8588042522635273,early,0.1188118811881188,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
49,100.0569814,100.0569814,0.2082806478266142,0.30946785,0.0042297706687272,early,early,0.8585939581704493,0.1220507871824665,0.0193552546460842,0.8585939581704493,early,0.1221122112211221,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
50,100.4822915,100.48229147142855,0.2107856511456729,0.30960348,0.004552193542907,early,early,0.8584410533393168,0.1222038055176799,0.0193551411420033,0.8584410533393168,early,0.1254125412541254,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
51,100.9076015,100.90760153285714,0.2132906544058334,0.309708,0.0048006609823325,early,early,0.8581936562872067,0.1223362450194598,0.0194700986923335,0.8581936562872067,early,0.1287128712871287,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
52,101.3329116,101.3329116,0.21579565769965,0.30985945,0.0051606915382165,early,early,0.8580534050898799,0.1224509879553285,0.0194956069537915,0.8580534050898799,early,0.132013201320132,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
53,101.7582217,101.75822167142856,0.2183006610187089,0.31034297,0.006310126826305,early,early,0.8575290636705533,0.122781690145706,0.0196892461827407,0.8575290636705533,early,0.1353135313531353,PHM2010,D1/C6,PHM_D1_FROZEN_B11_B12,run_level,none,304,run_id_12_315_common_304,paper_data/01_PHM2010/04_semantics/C6_lifecycle_probability_wear.csv,DERIVED
