Method,Seed,Acc,Macro-F1,M-F1,M-Rec,Rev,Jump,Smooth,feature_hash,split_hash,gmm_hash,window_hash,training_seconds
RF,42,0.9769736842105264,0.9773279380019092,0.9723320158102768,0.9534883720930232,5,0,0.1106930693069307,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,1.2587294578552246
RF,52,0.9769736842105264,0.9774075615036714,0.9723320158102768,0.9534883720930232,5,0,0.1169141914191419,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,0.8610084056854248
RF,62,0.9736842105263158,0.9743309018146104,0.9689922480620154,0.9689922480620154,6,0,0.1118316831683168,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,0.8337080478668213
RF,72,0.9802631578947368,0.9806813590820944,0.9765625,0.9689922480620154,5,0,0.1166666666666666,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,0.8290543556213379
RF,82,0.9769736842105264,0.9774075615036714,0.9723320158102768,0.9534883720930232,5,0,0.1085478547854785,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,0.8452472686767578
TCN-GRU,42,0.9769736842105264,0.9774782950738752,0.9735849056603774,1.0,4,0,0.0606696642935276,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,262.46897196769714
TCN-GRU,52,0.7203947368421053,0.7080260221456061,0.5086705202312138,0.3410852713178294,3,3,0.0463450923562049,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,84.17941761016846
TCN-GRU,62,0.8092105263157895,0.8201295432674512,0.71,0.5503875968992248,3,0,0.0471239052712917,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,168.9111614227295
TCN-GRU,72,0.868421052631579,0.8733754659124949,0.8165137614678899,0.689922480620155,3,0,0.0611562207341194,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,50.73965072631836
TCN-GRU,82,0.8651315789473685,0.8685686797046319,0.8110599078341014,0.6821705426356589,1,0,0.0321559756994247,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,60.202444553375244
Multi-task TCN-GRU,42,0.986842105263158,0.9870812093268324,0.984251968503937,0.9689922480620154,0,0,0.0238866172730922,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,57.54128575325012
Multi-task TCN-GRU,52,0.6743421052631579,0.6498598653645586,0.3773584905660377,0.2325581395348837,3,3,0.0513637028634548,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,49.344752073287964
Multi-task TCN-GRU,62,0.8486842105263158,0.8539004926549101,0.7830188679245284,0.6434108527131783,2,0,0.0430298671126365,3a7fedb02d2dffa9,a7197a8e6d33f850,4708f67f14b043b2,a1ec6910e449653f,39.94542860984802
