feature,mi_stage,mi_q,spearman_abs_q,domain_instability,feature_score,selected_rank,max_abs_corr_with_selected
ch3_wp_energy_ratio_8__rel,0.8261100945223057,2.0718638475145013,0.6766860490000878,0.42029776757983917,1.8589465589017162,1,
ch2_iqr__rel,0.663731529442428,1.5944609473188258,0.6320413372807556,0.030733085890177963,1.6250321693911132,2,0.5806847649064429
ch1_q25__rel,0.7319337266109069,2.2125938768892883,0.3980714613236273,0.6015118774899033,1.5879451027897775,3,0.6747003479829875
ch2_skew__rel,0.6446061793095543,1.5705581809030145,0.6153640338047974,0.1269025765684784,1.552796477350236,4,0.7822749417099205
ch2_kurtosis__online_rank,0.6609931520079844,1.1528241174616207,0.752285020307117,0.02070738959728733,1.537090083130214,5,0.8101421595706939
ch2_q25__rel,0.5816327994800989,1.4953243866305228,0.6349933997271139,0.004888260893077805,1.5106950932861272,6,0.7806476615086236
ch2_kurtosis__rel,0.50660807170763,1.7496971768021057,0.6645786223843838,0.17254483280318267,1.4747904415894273,7,0.9136153011638533
ch1_q25__online_rank,0.7569410446075773,1.2338809785093643,0.5468393595186383,0.366341334904849,1.4370356720651665,8,0.8807914546224573
ch3_wp_energy_8__rel,0.5599072968925656,1.228177982323674,0.7566009056905365,0.10992843199766658,1.4234158673257198,9,0.8049635870148316
ch2_band_power_q4__rel,0.6346541612297116,1.2504935723183355,0.6049074238732042,0.12898699171985684,1.4233459636924126,10,0.6367824344749207
ch3_band_ratio_q4_q1__rel,0.5729211129213858,1.5927180388631559,0.5639722798337541,0.21856282523842807,1.4213523028907438,11,0.7948102028143271
ch3_wp_energy_ratio_6__rel,0.5225830879495259,1.2507350077643635,0.8038705636040128,0.11869455930709208,1.4131843636867303,12,0.8284209070990873
ch3_band_power_q4__rel,0.5644358673940635,1.060551470264672,0.7440686686022664,0.0352287005783906,1.388980191254915,13,0.8397474838603852
ch5_wp_energy_8__rel,0.501432202418469,1.5776850045519737,0.7354908910399043,0.358412960962019,1.3828406279887473,14,0.7172813741227198
ch5_q25__rel,0.5327771777898371,1.1788743291677561,0.7813932986507035,0.15576134462646718,1.3739107544161588,15,0.8519231859775744
ch1_iqr__rel,0.5583329574287021,1.4709864173559302,0.535942007891008,0.147290978739062,1.3722277610275304,16,0.8500792745081959
ch1_wp_energy_8__rel,0.4997024922220956,1.2218192130520698,0.7746530068633544,0.11690377313771973,1.3624522991891728,17,0.8946181911914611
ch5_dom_power__rel,0.5317047210991652,1.2721397699482804,0.6221174983732974,0.05425716529760942,1.35329872894213,18,0.8516429249317509
ch1_rms__rel,0.5532314415612194,1.7913820996371905,0.4011249213700915,0.30592841343635574,1.3490820826411836,19,0.8222454158806781
ch5_q75__rel,0.5031111273111715,1.159436135533595,0.7712515629706945,0.11249514233440072,1.3440399472958886,20,0.8425409184737997
ch1_spec_centroid__online_rank,0.569494237835011,1.5194980133879996,0.32380370899882155,0.003976755162305051,1.334968141946857,21,0.5890972083155909
ch1_band_power_q4__rel,0.5681496121611882,1.0474502429031771,0.6693989695994074,0.09996568796646121,1.3247536008848315,22,0.9129341409975513
ch4_wp_energy_1__rel,0.4947792435493603,1.4012386641562458,0.6105912679878818,0.14580353345215796,1.319484661044062,23,0.8637618249774457
ch3_skew__rel,0.5483275927947824,1.851924020837017,0.8935219338158709,1.2141009695588372,1.3178354836203525,24,0.7470946818357568
ch1_dom_power__slope,0.6554331228310823,0.9097728654125636,0.4834672051970011,0.007033337093525597,1.3028422328842044,25,0.6512583414556756
ch2_dom_power__rel,0.4779031939359981,1.278127628570629,0.6801322079351731,0.14533417349336553,1.2962439369709853,26,0.838580416876589
ch3_wp_energy_ratio_5__rel,0.5112658212248613,1.0364094556676373,0.6693572479793914,0.01646622119953844,1.2875190217998473,27,0.7973344268825647
ch2_skew__online_rank,0.555127715319256,1.0430719588609914,0.674424346482284,0.16956841109869505,1.2873001191332416,28,0.8945396937498902
ch6_wp_energy_ratio_1__rel,0.4976216893869836,1.1881677238304271,0.8168158916086645,0.38191641447091856,1.2788205569862754,29,0.7783549426472485
ch1_var__rel,0.4529258151065114,1.3521747667791644,0.6353608781308266,0.12590751819130733,1.2768604165948674,30,0.915493608595297
ch3_wp_energy_ratio_8__online_rank,0.5585064892229956,1.238463452996292,0.5023268236746905,0.14541242261468526,1.2732047517999374,31,0.7365435308351755
ch4_band_power_q1__rel,0.5227587298498906,1.1921859764395277,0.5820393351602632,0.14854022757418422,1.2604322492758946,32,0.9196631243482642
ch2_rms__rel,0.4396625010463697,1.132757297610953,0.7487653979386588,0.09925493342223024,1.257175547483322,33,0.8953098454580606
ch4_wp_energy_7__rel,0.46531444614163164,1.253057199838449,0.6373984870472417,0.14654114736802934,1.2496956769964247,34,0.7912432014434849
ch2_wp_energy_2__rel,0.5051708386739089,1.1811807863847434,0.6154581652800691,0.16872491643671952,1.2485494679271463,35,0.8168878369986762
ch6_wp_energy_ratio_4__rel,0.46102794477161435,1.0462921299956767,0.8062158343093762,0.19794179852460694,1.247472064133807,36,0.8133467058782178
ch3_wp_energy_ratio_7__rel,0.553503327575054,1.141102261229281,0.5806443329485418,0.25945792544930296,1.2367835609772497,37,0.8361100891633179
ch2_wp_energy_ratio_8__rel,0.4330280348464155,1.2397977160402234,0.8147164503138213,0.35908428016584104,1.2326745885596924,38,0.8337601143540053
ch5_median__rel,0.5175451383785172,1.0134016471136857,0.5324134370368351,0.0241601217984921,1.2083615764469462,39,0.6739290850341924
ch5_wp_energy_7__rel,0.4545933646422473,1.4476020426605922,0.46598830517490797,0.16828021776322674,1.2041089076667493,40,0.8658315387409344
ch6_wp_energy_1__rel,0.45020267355257926,1.2348682111946272,0.5287470910801604,0.047529195070526296,1.2016024966453607,41,0.8027718661027078
ch2_band_ratio_q4_q1__rel,0.5242592118992162,1.386640661411361,0.3211244650412732,0.12765155933523573,1.1939497745884817,42,0.6516534230043703
ch1_spec_centroid__rel,0.5535165293581088,1.8868540407523424,0.015320413260947968,0.24375195924044224,1.1923801381166061,43,0.8727860875287899
ch4_dom_power__rel,0.4506720108905373,0.9535662382205761,0.6845987651881071,0.04362553912707798,1.1907477775157744,44,0.8146330009724777
ch2_wp_energy_8__rel,0.39473044727266404,1.1275339409228868,0.7994114599888118,0.22496672947107746,1.1897783190019102,45,0.9000229176674596
