condition,window_start,window_end,run_id_end,stage,fine_state,q_target,split
C6,1,12,12,early,0,0.0543003305631503,test
C6,2,13,13,early,0,0.06073574092286961,test
C6,3,14,14,early,0,0.06752073714772493,test
C6,4,15,15,early,0,0.07469686804741528,test
C6,5,16,16,early,0,0.08106227456612462,test
C6,6,17,17,early,0,0.08742768107641992,test
C6,7,18,18,early,0,0.09358816870377357,test
C6,8,19,19,early,0,0.09954373743977155,test
C6,9,20,20,early,0,0.10529438728441383,test
C6,10,21,21,early,0,0.11084011823770042,test
C6,11,22,22,early,0,0.1161809303080454,test
C6,12,23,23,early,0,0.1213168234786207,test
C6,13,24,24,early,0,0.1262477977578404,test
C6,14,25,25,early,0,0.13117877203706002,test
C6,15,26,26,early,0,0.13610974631627965,test
C6,16,27,27,early,0,0.14104072059549935,test
C6,17,28,28,early,0,0.14597169487471898,test
C6,18,29,29,early,0,0.1509026691539386,test
C6,19,30,30,early,0,0.1554870761471252,test
C6,20,31,31,early,0,0.1597249158626929,test
C6,21,32,32,early,0,0.1636161882838135,test
C6,22,33,33,early,0,0.16716089342731516,test
C6,23,34,34,early,0,0.17035903127636987,test
C6,24,35,35,early,0,0.17321060184780543,test
C6,25,36,36,early,0,0.17571560513320805,test
C6,26,37,37,early,0,0.17822060841861068,test
C6,27,38,38,early,0,0.18072561170401338,test
C6,28,39,39,early,0,0.183230614989416,test
C6,29,40,40,early,0,0.18573561827481863,test
C6,30,41,41,early,0,0.18824062156022117,test
C6,31,42,42,early,0,0.1907456248456237,test
C6,32,43,43,early,0,0.19325062812261246,test
C6,33,44,44,early,0,0.19575563140801508,test
C6,34,45,45,early,0,0.19826063468500363,test
C6,35,46,46,early,0,0.20076563797040625,test
C6,36,47,47,early,0,0.20327064128105096,test
C6,37,48,48,early,0,0.2057756445412115,test
C6,38,49,49,early,0,0.2082806478266142,test
C6,39,50,50,early,0,0.2107856511456729,test
C6,40,51,51,early,0,0.21329065440583345,test
C6,41,52,52,early,0,0.21579565769965003,test
